Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
17,Daniele Massaro,F,"5'10""",177.8,11 11,23/05/1961,21,Monza,Fiorentina,Italy,A
18,Alessandro Altobelli,F,"5'11""",180.34,11 07,28/11/1955,26,Sonnino,Internazionale,Italy,A
19,Francesco Graziani,F,"5'11""",180.34,12 00,16/12/1952,29,Subiaco,Fiorentina,Italy,A
20,Paolo Rossi,F,"5'09""",175.26,10 06,23/09/1956,25,Santa Lucia,Juventus,Italy,A
21,Franco Selvaggi,F,"5'08""",172.72,10 12,15/05/1953,29,Pomarico,Cagliari,Italy,A
22,Giovanni Galli,G,"6'02""",187.96,12 11,29/04/1958,24,Pisa,Fiorentina,Italy,A
1,Eusebio Acasuzo,G,,,,08/04/1952,30,,Universitario,Peru,A
2,Jaime Duarte,D,"5'07""",170.18,11 00,27/02/1955,27,,Alianza Lima,Peru,A
3,Salvador Salguero,D,,,,19/08/1951,30,,Alianza Lima,Peru,A
4,Hugo Gastulo,D,,,,09/01/1958,24,,Universitario,Peru,A
5,Germán Leguía,F,"6'01""",185.42,13 01,02/01/1954,28,Lima,Universitario,Peru,A
6,José Velásquez,M,"6'00""",182.88,12 11,04/06/1954,28,Lima,Independiente Santa Fe,Peru,A
7,Gerónimo Barbadillo,F,"5'10""",177.8,11 05,24/09/1952,29,Lima,Nuevo Leon,Peru,A
8,César Cueto,M,"5'07""",170.18,11 00,16/06/1952,29,,Atlético Nacional,Peru,A
9,Julio César Uribe,F,"5'09""",175.26,10 12,09/05/1958,24,,Sporting Cristal,Peru,A
10,Teófilo Cubillas,M,"5'08""",172.72,11 03,08/03/1949,33,Puente Piedra,Fort Lauderdale Strikers,Peru,A
11,Juan Carlos Oblitas,F,"5'08""",172.72,11 03,16/02/1952,30,Mollendo,Serésien,Peru,A
12,José González,G,,,,10/07/1954,27,,Alianza Lima,Peru,A
13,Oscar Arizaga,D,,,,20/08/1957,24,,Atletico Chalaco,Peru,A
14,Miguel Gutiérrez,D,,,,19/11/1956,25,,Sporting Cristal,Peru,A
15,Rubén Toribio Díaz,D,,,,17/04/1952,30,,Sporting Cristal,Peru,A
16,Jorge Olaechea,D,"5'10""",177.8,11 07,27/08/1956,25,,Alianza Lima,Peru,A
17,Franco Navarro,F,,,,10/11/1961,20,Lima,Deportivo Municipal,Peru,A
18,Eduardo Malásquez,M,,,,13/10/1957,24,,Deportivo Municipal,Peru,A
19,Guillermo La Rosa,M,"5'10""",177.8,12 08,06/06/1952,30,,Atlético Nacional,Peru,A
20,Percy Rojas,M,"5'09""",175.26,11 05,16/09/1949,32,,Seraing,Peru,A
21,Ramón Quiroga,G,"5'10""",177.8,12 08,23/07/1950,31,Rosario,Sporting Cristal,Peru,A
22,Luis Reyna,M,,,,16/05/1959,23,,Sporting Cristal,Peru,A
1,Józef M_ynarczyk,G,"6'00""",182.88,12 08,20/09/1953,28,Nowa Sól,Widzew _ód_,Poland,A
2,Marek Dziuba,D,"5'09""",175.26,12 00,19/12/1955,26,_ód_,_KS _ód_,Poland,A
3,Janusz Kupcewicz,M,"5'10""",177.8,12 00,09/12/1955,26,Gda_sk,Arka Gdynia,Poland,A
4,Tadeusz Dolny,D,,,,07/05/1958,24,Sobótka,Górnik Zabrze,Poland,A
5,Pawe_ Janas,D,"6'01""",185.42,13 03,04/03/1953,29,Pabianice,Legia Warszawa,Poland,A
6,Piotr Skrobowski,D,,,,16/10/1961,20,Kraków,Wis_a Kraków,Poland,A
7,Jan Ja_ocha,D,"5'09""",175.26,11 09,18/08/1957,24,Go_kowice,Wis_a Kraków,Poland,A
8,Waldemar Matysik,M,"5'09""",175.26,11 03,27/09/1961,20,Stanica Wielka,Górnik Zabrze,Poland,A
9,W_adys_aw _muda,D,"6'03""",190.5,13 08,06/06/1954,28,Lublin,Widzew _ód_,Poland,A
10,Stefan Majewski,D,"6'00""",182.88,12 13,31/01/1956,26,Bydgoszcz,Legia Warszawa,Poland,A
11,W_odzimierz Smolarek,F,"5'07""",170.18,11 00,16/07/1957,24,Aleksandrów _ódzki,Widzew _ód_,Poland,A
12,Roman Wójcicki,D,"6'04""",193.04,13 01,08/01/1958,24,Nysa,_l_sk Wroc_aw,Poland,A
13,Andrzej Buncol,M,"5'09""",175.26,11 07,21/09/1959,22,Gliwice,Legia Warszawa,Poland,A
14,Andrzej Pa_asz,M,"5'08""",172.72,09 13,22/07/1960,21,Zabrze,Górnik Zabrze,Poland,A
15,W_odzimierz Cio_ek,M,"5'06""",167.64,10 06,24/03/1956,26,Wa_brzych,Stal Mielec,Poland,A
16,Grzegorz Lato,M,"5'09""",175.26,11 07,08/04/1950,32,Malbork,Lokeren,Poland,A
17,Andrzej Szarmach,F,"5'10""",177.8,11 07,03/10/1950,31,Gda_sk,Auxerre,Poland,A
18,Marek Kusto,F,"5'11""",180.34,11 07,29/04/1954,28,Bochnia,Legia Warszawa,Poland,A
19,Andrzej Iwan,M,"5'09""",175.26,12 00,10/11/1959,22,Kraków,Wis_a Kraków,Poland,A
20,Zbigniew Boniek,F,"6'00""",182.88,12 00,03/03/1956,26,Bydgoszcz,Widzew _ód_,Poland,A
21,Jacek Kazimierski,G,"6'01""",185.42,12 13,17/08/1959,22,Warszawa,Legia Warszawa,Poland,A
22,Piotr Mowlik,G,,,,21/04/1951,31,Rybnik,Lech Pozna_,Poland,A
1,Mehdi Cerbah,G,"5'09""",175.26,11 05,03/01/1953,29,,RS Kouba,Algeria,B
2,Mahmoud Guendouz,D,"6'00""",182.88,12 00,24/02/1953,29,,Hussein Dey,Algeria,B
3,Mustafa Kouici,D,,,,16/04/1954,28,,Hussein Dey,Algeria,B
4,Nourredine Kourichi,D,"6'04""",193.04,13 10,12/04/1954,28,,Bordeaux,Algeria,B
5,Chaabane Merzekane,D,"6'00""",182.88,11 09,08/03/1959,23,,Fahd Alger,Algeria,B
6,Ali Bencheikh,M,,,,09/01/1955,27,,MP Alger,Algeria,B
7,Salah Assad,F,"6'00""",182.88,11 07,13/03/1958,24,Larbaa Nat Iraten,RS Kouba,Algeria,B
8,Ali Fergani,M,"5'09""",175.26,12 04,21/09/1952,29,,JE Tizi-Ouzou,Algeria,B
9,Tedj Bensaoula,F,"6'00""",182.88,11 07,01/12/1954,27,,MC Oran,Algeria,B
10,Lakhdar Belloumi,M,"5'09""",175.26,10 10,29/12/1958,23,Hussein Dey,GCR Mascara,Algeria,B
11,Rabah Madjer,F,"5'10""",177.8,10 12,15/02/1958,24,,Hussein Dey,Algeria,B
12,Salah Larbes,F,"5'11""",180.34,12 04,16/09/1952,29,,JE Tizi-Ouzou,Algeria,B
13,Hocine Yahi,F,"5'11""",180.34,12 04,25/04/1960,22,,CM Belcourt,Algeria,B
14,Djamel Zidane,F,"5'11""",180.34,11 05,28/04/1955,27,,KV Kortrijk,Algeria,B
15,Mustafa Dahleb,M,"5'10""",177.8,11 07,08/02/1952,30,,Paris St-Germain,Algeria,B
16,Faouzi Mansouri,D,"5'09""",175.26,11 07,17/01/1956,26,,Montpellier,Algeria,B
17,Abdelkader Horr,D,,,,10/11/1953,28,,DNC Alger,Algeria,B
18,Karim Maroc,M,"5'08""",172.72,10 12,05/03/1958,24,,Tours,Algeria,B
19,Djamel Tlemcani,F,"5'10""",177.8,11 09,16/04/1955,27,,Reims,Algeria,B
20,Abdelmajid Bourebbou,F,,,,16/03/1951,31,,Laval,Algeria,B
21,Mourad Amara,G,"5'09""",175.26,12 04,19/02/1959,23,,JE Tizi-Ouzou,Algeria,B
22,Yacine Bentaala,G,,,,24/09/1955,26,,Hussein Dey,Algeria,B
1,Friedrich Koncilia,G,"5'10""",177.8,12 08,25/02/1948,34,,Austria Vienna,Austria,B
2,Bernd Krauss,D,"5'10""",177.8,11 11,08/05/1957,25,Dortmund,Rapid Vienna,Austria,B
3,Erich Obermayer,D,"6'00""",182.88,11 11,23/01/1953,29,,Austria Vienna,Austria,B
4,Josef Degeorgi,D,"5'11""",180.34,11 05,19/01/1960,22,,Admira Wacker,Austria,B
5,Bruno Pezzey,D,"6'02""",187.96,11 11,03/02/1955,27,,Eintracht Frankfurt,Austria,B
6,Roland Hattenberger,M,,,,07/12/1948,33,,Wacker Innsbruck,Austria,B
7,Walter Schachner,F,"5'10""",177.8,12 08,01/02/1957,25,Leoben,Cesena,Austria,B
8,Herbert Prohaska,M,"5'11""",180.34,11 09,08/08/1955,26,Vienna,Internazionale,Austria,B
9,Hans Krankl,F,"6'00""",182.88,12 02,14/02/1953,29,Vienna,Rapid Vienna,Austria,B
10,Reinhold Hintermaier,M,"6'00""",182.88,12 04,14/02/1956,26,,Nürnberg,Austria,B
11,Kurt Jara,M,"5'10""",177.8,11 05,14/10/1950,31,Innsbruck,Grasshoppers,Austria,B
12,Anton Pichler,D,"6'01""",185.42,12 00,04/10/1955,26,,Sturm Graz,Austria,B
13,Max Hagmayr,F,"5'10""",177.8,12 00,16/11/1956,25,,VOEST Linz,Austria,B
14,Ernst Baumeister,M,"5'11""",180.34,12 00,22/01/1957,25,,Austria Vienna,Austria,B
15,Johann Dihanich,D,,,,24/10/1958,23,,Austria Vienna,Austria,B
16,Gerald Messlender,D,,,,01/10/1961,20,,Admira/Wacker,Austria,B
17,Johann Pregesbauer,D,"5'11""",180.34,12 04,09/06/1955,27,,Rapid Vienna,Austria,B
18,Gernot Jurtin,F,"5'11""",180.34,11 00,09/09/1955,26,Scheifling,Sturm Graz,Austria,B
19,Heribert Weber,D,,,,28/06/1955,26,Pöls,Rapid Vienna,Austria,B
20,Kurt Welzl,F,"5'11""",180.34,12 04,06/11/1954,27,,Valencia,Austria,B
21,Herbert Feurer,G,,,,14/01/1954,28,,Rapid Vienna,Austria,B
22,Klaus Lindenberger,G,"6'02""",187.96,12 08,28/05/1957,25,Linz,Linzer ASK,Austria,B
1,Óscar Wirth,G,,,,05/11/1955,26,,Cobreloa,Chile,B
2,Lizardo Garrido,D,"6'00""",182.88,12 04,25/08/1957,24,Santiago,Colo Colo,Chile,B
3,René Valenzuela,D,"5'11""",180.34,12 00,20/04/1955,27,,Universidad Católica,Chile,B
4,Vladimir Bigorra,D,"6'00""",182.88,11 11,09/08/1954,27,,Universidad de Chile,Chile,B
5,Elías Figueroa,D,"6'00""",182.88,12 11,25/10/1946,35,Valparaíso,Colo Colo,Chile,B
6,Rodolfo Dubó,M,"5'10""",177.8,11 07,11/09/1953,28,,Palestino,Chile,B
7,Eduardo Bonvallet,M,"5'10""",177.8,11 00,13/01/1955,27,Santiago,Universidad Católica,Chile,B
8,Carlos Rivas,M,,,,24/05/1953,29,,Colo Colo,Chile,B
9,Juan Carlos Letelier,F,,,,20/05/1959,23,Valparaíso,Cobreloa,Chile,B
10,Mario Soto,M,"5'10""",177.8,11 03,10/07/1950,31,Santiago de Chile,Cobreloa,Chile,B
11,Gustavo Moscoso,F,"5'07""",170.18,11 05,10/08/1955,26,,Universidad Católica,Chile,B
12,Marco Cornez,G,,,,15/10/1957,24,Santiago,Palestino,Chile,B
13,Carlos Caszely,F,"5'06""",167.64,10 12,05/07/1950,31,Santiago,Colo Colo,Chile,B
14,Raúl Ormeño,M,,,,21/06/1958,23,Temuco,Colo Colo,Chile,B
15,Patricio Yáñez,F,"5'06""",167.64,10 10,20/01/1961,21,Quillota,San Luis,Chile,B
16,Manuel Rojas,M,,,,13/06/1954,28,,Universidad Católica,Chile,B
17,Oscar Rojas,F,,,,15/11/1958,23,,Colo Colo,Chile,B
18,Mario Galindo,D,"5'08""",172.72,10 10,10/08/1951,30,,Colo Colo,Chile,B
19,Enzo Escobar,D,,,,10/11/1951,30,,Cobreloa,Chile,B
20,Miguel Ángel Neira,M,"5'08""",172.72,10 06,09/10/1952,29,,Universidad Católica,Chile,B
21,Miguel Ángel Gamboa,F,,,,21/06/1951,30,Santiago,Universidad de Chile,Chile,B
22,Mario Osbén,G,"5'10""",177.8,12 02,14/07/1950,31,,Colo Colo,Chile,B
1,Harald Schumacher,G,"6'01""",185.42,12 04,06/03/1954,28,Düren,Köln,West Germany,B
2,Hans-Peter Briegel,D,"6'02""",187.96,12 06,11/10/1955,26,Rodenbach,Kaiserslautern,West Germany,B
3,Paul Breitner,M,"5'09""",175.26,11 07,05/09/1951,30,Kolbermoor,Bayern Munich,West Germany,B
4,Karlheinz Förster,D,"5'10""",177.8,11 07,25/07/1958,23,Mosbach,Stuttgart,West Germany,B
5,Bernd Förster,D,"5'11""",180.34,11 09,03/05/1956,26,Mosbach,Stuttgart,West Germany,B
6,Wolfgang Dremmler,M,"5'10""",177.8,11 09,12/07/1954,27,Salzgitter,Bayern Munich,West Germany,B
7,Pierre Littbarski,M,"5'06""",167.64,10 01,16/04/1960,22,Berlin,Köln,West Germany,B
8,Klaus Fischer,F,"5'10""",177.8,11 11,27/12/1949,32,Kreuzstraßl,Köln,West Germany,B
9,Horst Hrubesch,F,"6'02""",187.96,13 12,17/04/1951,31,Hamm,Hamburg,West Germany,B
10,Hansi Müller,M,"5'11""",180.34,11 11,27/07/1957,24,Stuttgart,Stuttgart,West Germany,B
11,Karl-Heinz Rummenigge,F,"6'00""",182.88,12 06,25/09/1955,26,Lippstadt,Bayern Munich,West Germany,B
12,Wilfried Hannes,D,"6'02""",187.96,12 02,17/05/1957,25,Echtz,B Mönchengladbach,West Germany,B
13,Uwe Reinders,F,"6'02""",187.96,13 05,19/01/1955,27,Essen,Werder Bremen,West Germany,B
14,Felix Magath,M,"5'09""",175.26,11 09,26/07/1953,28,Aschaffenburg,Hamburg,West Germany,B
15,Uli Stielike,M,"5'09""",175.26,11 05,15/11/1954,27,Ketsch,Real Madrid,West Germany,B
16,Thomas Allofs,F,"5'09""",175.26,10 10,17/11/1959,22,Düsseldorf,Fortuna Düsseldorf,West Germany,B
17,Stephan Engels,M,"5'10""",177.8,11 07,06/09/1960,21,,Köln,West Germany,B
18,Lothar Matthäus,M,"5'09""",175.26,11 03,21/03/1961,21,Erlangen,B Mönchengladbach,West Germany,B
19,Holger Hieronymus,D,"5'11""",180.34,11 09,22/02/1959,23,Hamburg,Hamburg,West Germany,B
20,Manfred Kaltz,D,"6'00""",182.88,12 04,06/01/1953,29,Ludwigshafen am Rhein,Hamburg,West Germany,B
21,Bernd Franke,G,"6'00""",182.88,12 04,12/02/1948,34,Düsseldorf,Eintracht Braunschweig,West Germany,B
22,Eike Immel,G,"6'02""",187.96,12 13,27/11/1960,21,Stadtallendorf,Borussia Dortmund,West Germany,B
1,Osvaldo Ardiles,M,"5'07""",170.18,09 11,03/08/1952,29,Córdoba,Tottenham H,Argentina,C
2,Héctor Baley,G,,,,16/11/1950,31,La Plata,Talleres (Córdoba),Argentina,C
3,Juan Barbas,M,"5'06""",167.64,10 06,23/08/1959,22,San Martín,Racing Club,Argentina,C
4,Daniel Bertoni,F,"5'10""",177.8,11 07,14/03/1955,27,Bahía Blanca,Fiorentina,Argentina,C
5,Gabriel Calderón,F,"5'07""",170.18,11 00,07/02/1960,22,Rawson,Independiente,Argentina,C
6,Ramón Díaz,F,"5'07""",170.18,10 08,29/08/1959,22,La Rioja,River Plate,Argentina,C
7,Ubaldo Fillol,G,"6'00""",182.88,12 08,21/07/1950,31,San Miguel del Monte,River Plate,Argentina,C
8,Luis Galván,D,"5'09""",175.26,11 09,24/02/1948,34,Fernandez,Talleres (Córdoba),Argentina,C
9,Américo Gallego,M,"5'07""",170.18,11 00,25/04/1955,27,,River Plate,Argentina,C
10,Diego Maradona,M,"5'06""",167.64,11 00,30/10/1960,21,Villa Fiorito,Boca Juniors,Argentina,C
11,Mario Kempes,F,"6'00""",182.88,12 08,15/07/1954,27,Belville,River Plate,Argentina,C
12,Patricio Hernández,M,,,,16/08/1956,25,San Nicolás de los Arroyos,Estudiantes (LP),Argentina,C
13,Julio Olarticoechea,M,"5'07""",170.18,11 03,18/10/1958,23,Saladillo,River Plate,Argentina,C
14,Jorge Olguín,D,"5'09""",175.26,11 00,17/05/1952,30,Dolores,Independiente,Argentina,C
15,Daniel Passarella,D,"5'10""",177.8,11 09,25/05/1953,29,Chacabuco,River Plate,Argentina,C
16,Nery Pumpido,G,"6'00""",182.88,12 08,30/07/1957,24,Santa Fe,Veléz Sársfield,Argentina,C
17,Santiago Santamaría,F,"5'07""",170.18,10 12,22/08/1952,29,,Newell's Old Boys,Argentina,C
18,Alberto Tarantini,D,"5'10""",177.8,11 05,03/12/1955,26,Ezeiza,River Plate,Argentina,C
19,Enzo Trossero,D,,,,23/05/1953,29,Santa Fe,Independiente,Argentina,C
20,Jorge Valdano,F,"6'02""",187.96,13 03,04/10/1955,26,Las Parejas,Zaragoza,Argentina,C
21,José Daniel Valencia,M,"5'07""",170.18,10 03,03/10/1955,26,San Salvador,Talleres (Córdoba),Argentina,C
22,José van Tuyne,D,,,,13/12/1954,27,,Racing Club,Argentina,C
1,Jean-Marie Pfaff,G,"5'11""",180.34,12 04,04/12/1953,28,Lebbeke,Beveren,Belgium,C
2,Eric Gerets,D,"5'10""",177.8,12 02,18/05/1954,28,Rekem,Standard Liège,Belgium,C
3,Luc Millecamps,D,"6'00""",182.88,11 07,10/09/1951,30,,KSV Waregem,Belgium,C
4,Walter Meeuws,D,"6'01""",185.42,12 04,11/07/1951,30,,Standard Liège,Belgium,C
5,Michel Renquin,D,"5'11""",180.34,12 06,03/11/1955,26,,Anderlecht,Belgium,C
6,Franky Vercauteren,M,"5'09""",175.26,11 07,28/10/1956,25,Brussels,Anderlecht,Belgium,C
7,René Vandereycken,M,"5'09""",175.26,11 07,22/07/1953,28,Spalbeek,Genoa,Belgium,C
8,Wilfried Van Moer,M,"5'06""",167.64,10 10,01/03/1945,37,Beveren-Waas,Beveren,Belgium,C
9,Erwin Vandenbergh,F,"6'00""",182.88,11 11,26/01/1959,23,Ramsel,Lierse,Belgium,C
10,Ludo Coeck,M,"6'00""",182.88,11 11,25/09/1955,26,Berchem,Anderlecht,Belgium,C
11,Jan Ceulemans,M,"6'02""",187.96,12 11,28/02/1957,25,Lier,Club Brugge,Belgium,C
12,Theo Custers,G,"6'01""",185.42,13 10,10/08/1950,31,,Espanyol,Belgium,C
13,François Van der Elst,F,"5'08""",172.72,11 00,01/12/1954,27,Opwijk,West Ham U,Belgium,C
14,Marc Baecke,D,"5'09""",175.26,12 00,24/07/1956,25,,Beveren,Belgium,C
15,Maurits De Schrijver,D,"5'11""",180.34,11 11,26/06/1951,30,,Lokeren,Belgium,C
16,Gerard Plessers,D,"5'10""",177.8,12 04,30/03/1959,23,,Standard Liège,Belgium,C
17,René Verheyen,M,"6'01""",185.42,12 06,21/03/1952,30,,Lokeren,Belgium,C
18,Raymond Mommens,M,"5'10""",177.8,11 00,27/12/1958,23,Lebbeke,Lokeren,Belgium,C
19,Marc Millecamps,M,"5'09""",175.26,11 07,09/10/1950,31,,KSV Waregem,Belgium,C
20,Guy Vandersmissen,F,"5'10""",177.8,12 02,25/12/1957,24,,Standard Liège,Belgium,C
21,Alexandre Czerniatynski,F,"6'01""",185.42,12 00,28/07/1960,21,Charleroi,Antwerp,Belgium,C
22,Jacky Munaron,G,"5'11""",180.34,11 11,08/09/1956,25,Namur,Anderlecht,Belgium,C
1,Luis Guevara Mora,G,,,,02/09/1961,20,,Platense Municipal,El Salvador,C
2,Mario Castillo,D,"5'09""",175.26,11 03,30/10/1951,30,,CD Santiagueño,El Salvador,C
3,José Francisco Jovel,D,"6'02""",187.96,13 05,26/05/1951,31,,CD Águila,El Salvador,C
4,Carlos Recinos,D,"5'06""",167.64,11 00,30/06/1950,31,,CD FAS,El Salvador,C
5,Ramón Fagoaga,M,"6'00""",182.88,11 09,25/12/1954,27,,Atlético Marte,El Salvador,C
6,Joaquín Ventura,M,,,,23/10/1956,25,,CD Santiagueño,El Salvador,C
7,Silvio Aquino,F,,,,30/06/1949,32,,Alianza FC,El Salvador,C
8,José Luis Rugamas,M,"5'08""",172.72,10 06,05/06/1953,29,,Atlético Marte,El Salvador,C
9,Ever Francisco Hernández,F,,,,11/12/1958,23,,CD Santiagueño,El Salvador,C
10,Norberto Huezo,M,"5'08""",172.72,11 00,06/06/1956,26,,Atlético Marte,El Salvador,C
11,Mágico González,F,"5'08""",172.72,10 10,13/05/1958,24,San Salvador,CD FAS,El Salvador,C
12,Francisco Osorto,D,"5'08""",172.72,11 00,20/03/1957,25,,CD Santiagueño,El Salvador,C
13,José María Rivas,M,"5'11""",180.34,11 05,12/05/1958,24,,Alianza FC,El Salvador,C
14,Luis Ramírez,M,"5'09""",175.26,11 07,06/01/1954,28,,Atlético Marte,El Salvador,C
15,Jaime Rodríguez,D,"5'09""",175.26,11 11,17/01/1959,23,San Salvador,Bayer Uerdingen,El Salvador,C
16,Mauricio Alfaro,F,"5'11""",180.34,12 00,13/02/1956,26,,Platense Municipal,El Salvador,C
17,Guillermo Ragazzone,F,,,,05/11/1956,25,,Atlético Marte,El Salvador,C
18,Miguel Ángel Díaz,D,"5'10""",177.8,11 05,27/01/1957,25,,Atlético Marte,El Salvador,C
19,Eduardo Hernández,G,,,,31/01/1961,21,,CD Santiagueño,El Salvador,C
20,José Luis Munguía,G,,,,28/10/1950,31,,CD FAS,El Salvador,C
1,Ferenc Mészáros,G,"6'00""",182.88,11 00,11/04/1950,32,,Sporting CP,Hungary,C
2,Gy_z_ Martos,D,"5'11""",180.34,11 03,15/12/1949,32,,Waterschei,Hungary,C
3,László Bálint,D,"5'11""",180.34,12 04,01/02/1948,34,,Toulouse,Hungary,C
4,József Tóth,D,"5'09""",175.26,11 11,02/12/1951,30,,Újpesti Dózsa,Hungary,C
5,Sándor Müller,M,"5'11""",180.34,11 09,21/09/1948,33,,Hércules,Hungary,C
6,Imre Garaba,M,"5'11""",180.34,12 06,29/07/1958,23,,Budapest-Honvéd,Hungary,C
7,László Fazekas,F,"5'10""",177.8,10 01,15/10/1947,34,Budapest,Royal Antwerp,Hungary,C
8,Tibor Nyilasi,M,"6'02""",187.96,12 02,18/01/1955,27,,Ferencváros,Hungary,C
9,András Tör_csik,F,"5'08""",172.72,10 08,01/05/1955,27,,Újpesti Dózsa,Hungary,C
10,László Kiss,F,"6'00""",182.88,12 13,12/03/1956,26,,Vasas,Hungary,C
11,Gábor Pölöskei,F,"6'01""",185.42,11 07,11/10/1961,20,,Ferencváros,Hungary,C
12,Lázár Szentes,F,"5'09""",175.26,10 10,12/12/1955,26,,Gy_r,Hungary,C
13,Tibor Rab,D,,,,02/10/1955,26,,Ferencváros,Hungary,C
14,Sándor Sallai,D,"5'07""",170.18,09 13,26/03/1960,22,,Debrecen,Hungary,C
15,Béla Bödönyi,F,,,,14/09/1956,25,,Budapest-Honvéd,Hungary,C
16,Ferenc Csongrádi,M,"5'08""",172.72,10 10,29/03/1956,26,,Videoton,Hungary,C
17,Károly Csapó,M,"5'09""",175.26,10 10,23/02/1952,30,,Tatabányai Bányász,Hungary,C
18,Attila Kerekes,D,"6'00""",182.88,12 04,04/04/1954,28,,Békéscsabai El_re,Hungary,C
19,József Varga,D,"5'11""",180.34,11 07,09/10/1954,27,,Budapest-Honvéd,Hungary,C
20,József Csuhay,D,,,,12/07/1957,24,,Videoton,Hungary,C
21,Béla Katzirz,G,,,,27/07/1953,28,,Pécs,Hungary,C
22,Imre Kiss,G,,,,10/08/1937,44,,Tatabányai Bányász,Hungary,C
1,Stanislav Seman,G,"6'01""",185.42,12 08,08/08/1952,29,,Lokomotiva Ko_ice,Czechoslovakia,D
2,Franti_ek Jakubec,D,,,,12/04/1956,26,,Bohemians Prague,Czechoslovakia,D
3,Jan Fiala,D,,,,19/05/1956,26,,Dukla Prague,Czechoslovakia,D
4,Ladislav Jurkemik,D,"5'09""",175.26,11 09,20/07/1953,28,Jacovce,Inter Bratislava,Czechoslovakia,D
5,Jozef Barmo_,D,,,,28/08/1954,27,,Inter Bratislava,Czechoslovakia,D
6,Rostislav Vojá_ek,D,,,,23/02/1949,33,,Baník Ostrava,Czechoslovakia,D
7,Ján Kozák,M,,,,17/04/1954,28,,Dukla Prague,Czechoslovakia,D
