Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,Raul Magana,G,"5'10""",177.8,12 02,24/02/1940,30,,FAS,El Salvador,A
2,Roberto Rivas,D,"5'07""",170.18,10 06,17/07/1941,28,,Atl_tico Marte,El Salvador,A
3,Salvador Mariona,D,"5'11""",180.34,12 00,16/12/1943,26,,Universidad,El Salvador,A
4,Santiago Cortes,D,"5'10""",177.8,12 00,19/01/1945,25,,Atl_tico Marte,El Salvador,A
5,Saturnino Osorio,D,"5'10""",177.8,12 00,06/01/1945,25,,çguila,El Salvador,A
6,Jose Quintanilla,M,"5'09""",175.26,11 00,29/10/1947,22,,Alianza,El Salvador,A
7,Mauricio RodrÕguez,M,"5'08""",172.72,11 05,12/09/1945,24,,Universidad,El Salvador,A
8,Jorge Vasquez,M,"5'10""",177.8,10 12,23/04/1945,25,,Atlante,El Salvador,A
9,Juan Martinez,F,"6'00""",182.88,12 00,20/04/1948,22,,çguila,El Salvador,A
10,Salvador Cabezas,M,"5'08""",172.72,11 09,28/02/1947,23,,Atl_tico Marte,El Salvador,A
11,Ernesto Aparicio,F,"5'06""",167.64,10 01,28/12/1948,21,,Atl_tico Marte,El Salvador,A
12,Mario Monge,M,"5'05""",165.1,10 06,27/11/1938,31,,FAS,El Salvador,A
13,Tomas Pineda,M,,,,,,,,El Salvador,A
14,Mauricio Manzano,D,"5'07""",170.18,10 08,30/09/1943,26,,Adler,El Salvador,A
15,David Cabrera,M,,,,,,,FAS,El Salvador,A
16,Genaro Sarmeno,M,"5'06""",167.64,09 13,28/11/1948,21,,FAS,El Salvador,A
17,Jaime Portillo,F,"5'09""",175.26,11 03,18/09/1947,22,,Alianza,El Salvador,A
18,Guillermo Castro,D,,,,,,,Atl_tico Marte,El Salvador,A
19,Sergio M_ndez,F,"5'09""",175.26,10 12,14/02/1942,28,,Atl_tico Marte,El Salvador,A
20,Gualberto Fernandez,G,,,,,,,Atlante,El Salvador,A
21,Elmer Acevedo,F,,,,,,,FAS,El Salvador,A
22,Alberto Villalta,M,,,,,,,Atl_tico Marte,El Salvador,A
1,Ignacio CalderÑn,G,"6'00""",182.88,12 11,13/12/1943,26,,Guadalajara,Mexico,A
2,Juan Manuel Alejandrez,M,,,,,,,Cruz Azul,Mexico,A
3,Gustavo Pe_a,D,"6'00""",182.88,12 06,22/11/1941,28,,Cruz Azul,Mexico,A
4,Francisco Montes,D,,,,,,,Veracruz,Mexico,A
5,Mario P_rez,D,"5'07""",170.18,11 09,30/07/1946,23,,Am_rica,Mexico,A
6,Guillermo Hernàndez,M,"5'08""",172.72,11 09,25/06/1942,27,,Am_rica,Mexico,A
7,Marcos Rivas,M,,,,,,,Atlante,Mexico,A
8,Antonio MunguÕa,M,"5'07""",170.18,10 08,27/06/1942,27,,Cruz Azul,Mexico,A
9,Enrique Borja,M,"5'09""",175.26,10 01,30/12/1945,24,,Am_rica,Mexico,A
10,Horacio LÑpez Salgado,M,"5'06""",167.64,10 06,15/09/1948,21,,Am_rica,Mexico,A
11,AarÑn Padilla,F,"5'09""",175.26,10 10,10/07/1942,27,,UNAM,Mexico,A
12,Antonio Mota,G,,,,,,,Necaxa,Mexico,A
13,Jos_ Vantolrà,D,,,,30/03/1943,27,,Toluca,Mexico,A
14,Javier Guzmàn,D,"5'05""",165.1,09 13,09/01/1945,25,,Cruz Azul,Mexico,A
15,H_ctor Pulido,M,"5'10""",177.8,12 04,15/12/1942,27,,Cruz Azul,Mexico,A
16,Isidoro DÕaz,M,"5'06""",167.64,10 03,14/03/1940,30,,LeÑn,Mexico,A
17,Jos_ Luis Gonzàlez,D,"5'09""",175.26,10 10,14/09/1942,27,,UNAM,Mexico,A
18,Mario Velarde,M,"5'07""",170.18,11 03,29/03/1940,30,,UNAM,Mexico,A
19,Javier Valdivia,F,"5'04""",162.56,09 06,04/12/1941,28,,Guadalajara,Mexico,A
20,Juan Ignacio Basaguren,F,"6'00""",182.88,12 06,21/07/1944,25,,Atlante,Mexico,A
21,Javier Fragoso,F,"5'10""",177.8,11 11,19/04/1942,28,,Am_rica,Mexico,A
22,Francisco CastrejÑn,G,,,,,,,UNAM,Mexico,A
1,Leonid Shmuts,G,"6'01""",185.42,12 13,08/10/1948,21,,CSKA Moscow,USSR,A
2,Anzor Kavazachvili,G,"5'09""",175.26,12 08,19/07/1940,29,,Spartak Moscow,USSR,A
3,Valentin Afonin,D,"5'11""",180.34,11 09,22/12/1939,30,,SKA Rostov,USSR,A
4,Revaz Dzodzuashvili,D,"5'09""",175.26,11 07,10/04/1945,25,,Dynamo Tblisi,USSR,A
5,Vladimir Kaplichny,D,"5'11""",180.34,12 06,26/02/1944,26,,CSKA Moscow,USSR,A
6,Evgeny Lovchev,D,"5'08""",172.72,10 12,29/01/1949,21,,Spartak Moscow,USSR,A
7,Gennady Logofet,D,"6'00""",182.88,11 05,15/04/1942,28,,Spartak Moscow,USSR,A
8,Murtaz Khurtsilava,M,"5'10""",177.8,13 01,05/01/1943,27,Bandza,Dynamo Tblisi,USSR,A
9,Albert Shesterniev,D,"6'00""",182.88,12 13,20/06/1941,28,,CSKA Moscow,USSR,A
10,Valery Zikov,M,"5'10""",177.8,11 11,24/02/1944,26,,Dynamo Moscow,USSR,A
11,Kakhi Asatiani,M,"6'01""",185.42,13 01,01/01/1947,23,,CSKA Moscow,USSR,A
12,Nikolai Kiselev,M,"5'09""",175.26,10 10,29/11/1946,23,,Spartak Moscow,USSR,A
13,Lev Yashin,G,"6'01""",185.42,12 13,,,Moscow,Dynamo Moscow,USSR,A
14,Vladimir Muntian,M,"5'07""",170.18,10 10,14/09/1946,23,,Dynamo Kiev,USSR,A
15,Viktor Serebrjanikov,F,"5'08""",172.72,11 03,29/03/1940,30,,Dynamo Kiev,USSR,A
16,Anatoly Byshovets,F,"5'09""",175.26,11 05,23/04/1946,24,Kyiv,Dynamo Kiev,USSR,A
17,Gennady Yevriuzhikin,F,"5'07""",170.18,10 10,04/02/1944,26,,Dynamo Moscow,USSR,A
18,Slava Metreveli,F,"5'08""",172.72,10 12,30/05/1936,34,,Dynamo Tblisi,USSR,A
19,Givi Nodia,F,"5'07""",170.18,10 10,02/01/1948,22,,Dynamo Tblisi,USSR,A
20,Anatoly Puzach,F,"5'07""",170.18,11 05,03/06/1941,28,,Dynamo Kiev,USSR,A
21,Vitaly Kmelnitsky,F,"5'09""",175.26,11 05,12/06/1943,26,,Dynamo Kiev,USSR,A
22,Valeriy Porkujan,F,"5'09""",175.26,11 05,04/10/1944,25,,Dynamo Kiev,USSR,A
1,Yitzchak Vissoker,G,"6'01""",185.42,12 13,18/09/1944,25,,Hapoel Petah Tikva,Israel,B
2,Shraga Bar,F,"5'07""",170.18,10 12,24/03/1948,22,,Maccabi Netanya,Israel,B
3,Menachem Bello,D,"5'06""",167.64,09 13,26/12/1947,22,,Maccabi Tel Aviv,Israel,B
4,David Primo,D,"6'01""",185.42,11 09,05/05/1946,24,,Hapoel Tel Aviv,Israel,B
5,Zvi Rosen,D,"5'11""",180.34,11 09,23/06/1947,22,,Maccabi Tel Aviv,Israel,B
6,Shmuel Rosenthal,D,,,,22/04/1947,23,,Hapoel Petah Tikva,Israel,B
7,Itzhak Shum,M,,,,01/09/1948,21,,Hapoel Kfar Saba,Israel,B
8,Giora Spiegel,M,"5'11""",180.34,12 11,27/07/1947,22,Petah Tikva,Maccabi Tel Aviv,Israel,B
9,Yehoshua Faygenbaum,F,"5'10""",177.8,12 00,05/12/1947,22,,Hapoel Tel Aviv,Israel,B
10,Mordechai Spiegler,M,"5'10""",177.8,11 03,19/08/1944,25,Sochi,Maccabi Netanya,Israel,B
11,George Borba,F,,,,,,,Hapoel Tel Aviv,Israel,B
12,Yisha'ayahu Schvager,D,,,,10/02/1946,24,,Maccabi Haifa,Israel,B
13,Yechezekel Chazom,F,,,,,,,Hapoel Tel Aviv,Israel,B
14,Dani Shmulevich-Rom,F,"5'11""",180.34,11 11,29/11/1940,29,,Maccabi Haifa,Israel,B
15,Rachamim Talbi,F,"5'05""",165.1,10 12,17/05/1943,27,,Maccabi Tel Aviv,Israel,B
16,Yochanan Vollach,M,"6'01""",185.42,13 03,14/05/1945,25,Qiryat Bialik,Hapoel Haifa,Israel,B
17,Eli Ben Rimoz,F,,,,,,,Hapoel Jerusalem,Israel,B
18,Moshe Romano,F,,,,,,,Shimshon Tel Aviv,Israel,B
19,Roni Shuruk,F,"6'00""",182.88,11 11,24/02/1946,24,,Hakoah Ramat Gan,Israel,B
20,David Karako,D,,,,,,,Maccabi Tel Aviv,Israel,B
21,Yechiel Hameiri,G,,,,,,,Hapoel Haifa,Israel,B
22,Yair Nossovsky,G,,,,,,,Hapoel Kfar Saba,Israel,B
1,Enrico Albertosi,G,"6'00""",182.88,12 02,02/11/1939,30,Pontremoli,Cagliari,Italy,B
2,Tarcisio Burgnich,D,"5'10""",177.8,12 00,25/04/1939,31,Ruda,Internazionale,Italy,B
3,Giacinto Facchetti,D,"6'02""",187.96,13 08,18/07/1942,27,Treviglio,Internazionale,Italy,B
4,Fabrizio Poletti,D,"5'07""",170.18,11 05,13/07/1943,26,Gavello,Torino,Italy,B
5,Pierluigi Cera,D,"5'08""",172.72,11 00,25/02/1941,29,Legnano,Cagliari,Italy,B
6,Ugo Ferrante,D,,,,18/07/1945,24,Vercelli,Fiorentina,Italy,B
7,Comunardo Niccolai,D,"5'10""",177.8,11 11,15/12/1946,23,Uzzano,Cagliari,Italy,B
8,Roberto Rosato,D,"5'09""",175.26,11 07,18/08/1943,26,Chieri,Milan,Italy,B
9,Giorgio Puia,D,,,,08/03/1938,32,Gorizia,Torino,Italy,B
10,Mario Bertini,M,"5'09""",175.26,11 05,07/01/1944,26,Prato,Internazionale,Italy,B
11,Luigi Riva,F,"5'11""",180.34,12 04,07/11/1944,25,Leggiuno,Cagliari,Italy,B
12,Dino Zoff,G,"6'00""",182.88,12 04,28/02/1942,28,Mariano del Friuli,Napoli,Italy,B
13,Angelo Domenghini,F,"5'09""",175.26,12 00,25/08/1941,28,Lallio,Cagliari,Italy,B
14,Gianni Rivera,M,"5'09""",175.26,10 10,18/08/1943,26,Alessandria,Milan,Italy,B
15,Sandro Mazzola,F,"5'10""",177.8,10 06,08/11/1942,27,Turin,Internazionale,Italy,B
16,Giancarlo De Sisti,M,"5'07""",170.18,10 10,13/03/1943,27,Rome,Fiorentina,Italy,B
17,Lido Vieri,G,"6'00""",182.88,12 08,16/07/1939,30,Piombino,Internazionale,Italy,B
18,Antonio Juliano,M,"5'09""",175.26,11 05,01/01/1943,27,Naples,Napoli,Italy,B
19,Sergio Gori,F,"5'10""",177.8,11 09,24/02/1946,24,Milan,Cagliari,Italy,B
20,Roberto Boninsegna,F,"5'10""",177.8,12 00,13/11/1943,26,Mantova,Internazionale,Italy,B
21,Giuseppe Furino,M,"5'08""",172.72,10 12,05/07/1946,23,Palermo,Juventus,Italy,B
22,Pierino Prati,F,"5'11""",180.34,12 04,13/12/1946,23,Cinisello Balsamo,Milan,Italy,B
1,Ronnie Hellstr_m,G,"6'04""",193.04,13 03,21/02/1949,21,,Hammarby IF,Sweden,B
2,Hans Selander,D,"6'02""",187.96,12 04,15/03/1945,25,,Helsingborgs IF,Sweden,B
3,Kurt Axelsson,D,"5'10""",177.8,11 09,10/11/1941,28,,Club Brugge,Sweden,B
4,Bj_rn Nordqvist,D,"5'10""",177.8,11 11,06/10/1942,27,Hallsberg,IFK Norrk_ping,Sweden,B
5,Roland Grip,D,"5'09""",175.26,12 00,01/01/1941,29,,AIK,Sweden,B
6,Tommy Svensson,M,"5'10""",177.8,10 08,04/03/1945,25,,Ésters IF,Sweden,B
7,Bo Larsson,F,,,,05/05/1944,26,,Malm_ FF,Sweden,B
8,Leif Eriksson,M,"5'09""",175.26,11 09,20/03/1942,28,,Érebro SK,Sweden,B
9,Ove Kindvall,M,"5'09""",175.26,10 12,16/05/1943,27,Norrk_ping,Feyenoord,Sweden,B
10,Ove Grahn,F,"5'11""",180.34,11 03,09/05/1943,27,,Grasshoppers,Sweden,B
11,Érjan Persson,M,"5'11""",180.34,12 08,27/08/1942,27,Sm_gen,Érgryte IS,Sweden,B
12,Sven-Gunnar Larsson,G,,,,10/05/1940,30,,Érebro SK,Sweden,B
13,Claes Cronqvist,F,"6'02""",187.96,12 04,15/10/1944,25,,DjurgÎrdens IF,Sweden,B
14,Krister Kristensson,D,,,,25/07/1942,27,,Malm_ FF,Sweden,B
15,Leif MÎlberg,D,,,,01/09/1945,24,,IF Elfsborg,Sweden,B
16,Thomas Nordahl,M,"6'00""",182.88,12 11,24/05/1946,24,,Érebro SK,Sweden,B
17,Ronney Pettersson,G,,,,26/04/1940,30,,DjurgÎrdens IF,Sweden,B
18,Tom Turesson,F,"6'00""",182.88,11 11,17/05/1942,28,,Hammarby IF,Sweden,B
19,G_ran Nicklasson,M,"5'11""",180.34,12 04,20/08/1942,27,,IFK G_teborg,Sweden,B
20,Jan Olsson,D,"5'06""",167.64,09 11,30/03/1942,28,,GAIS,Sweden,B
21,Inge Ejderstedt,M,"5'09""",175.26,11 09,24/12/1946,23,,Ésters IF,Sweden,B
22,Sten PÎlsson,F,"5'07""",170.18,10 03,04/12/1945,24,,GAIS,Sweden,B
1,Ladislao Mazurkiewicz,G,"5'10""",177.8,12 04,14/02/1945,25,Montevideo,Pe_arol,Uruguay,B
2,Atilio Ancheta,D,"6'01""",185.42,12 04,19/07/1948,21,,Nacional [URU],Uruguay,B
3,Roberto Matosas,D,"5'09""",175.26,12 04,11/05/1940,30,,Pe_arol,Uruguay,B
4,Luis Ubi_as,M,"5'10""",177.8,12 04,07/06/1940,29,,Nacional [URU],Uruguay,B
5,Julio Montero Castillo,D,"5'11""",180.34,11 09,25/04/1944,26,,Nacional [URU],Uruguay,B
6,Juan Mujica,M,"5'09""",175.26,11 09,22/12/1944,25,,Nacional [URU],Uruguay,B
7,Luis Cubilla,F,"5'07""",170.18,11 00,28/03/1940,30,Paysandu,Nacional [URU],Uruguay,B
8,Pedro Rocha,M,"5'11""",180.34,12 04,03/12/1942,27,Salto,Pe_arol,Uruguay,B
9,VÕctor Espàrrago,M,"5'09""",175.26,11 07,06/10/1944,25,Montevideo,Nacional [URU],Uruguay,B
10,Ildo Maneiro,M,"5'09""",175.26,11 07,04/08/1947,22,,Nacional [URU],Uruguay,B
11,Julio C_sar Morales,F,"5'05""",165.1,10 01,16/02/1945,25,,Nacional [URU],Uruguay,B
12,H_ctor Santos,G,,,,29/10/1944,25,,Bella Vista,Uruguay,B
13,Rodolfo Sandoval,M,"5'09""",175.26,11 11,04/10/1948,21,,Pe_arol,Uruguay,B
14,Francisco Càmera,D,,,,,,,Bella Vista,Uruguay,B
15,Dagoberto Fontes,F,"5'10""",177.8,11 05,06/06/1943,26,,Defensor Sporting,Uruguay,B
16,Omar Caetano,M,"5'06""",167.64,10 08,09/11/1938,31,,Pe_arol,Uruguay,B
17,RÏben Bare_o,F,"5'09""",175.26,11 03,23/01/1944,26,,Cerro,Uruguay,B
18,Alberto GÑmez,F,"5'06""",167.64,11 00,10/06/1944,25,,Liverpool [URU],Uruguay,B
19,Oscar ZubÕa,F,"5'05""",165.1,10 12,08/02/1946,24,,River Plate,Uruguay,B
20,Julio C_sar Cort_s,M,"5'09""",175.26,11 05,29/03/1941,29,,Pe_arol,Uruguay,B
21,Julio Losada,F,"5'04""",162.56,10 03,16/06/1950,19,,Pe_arol,Uruguay,B
22,Walter Corbo,G,,,,02/05/1949,21,,Nacional [URU],Uruguay,B
1,Felix,G,"5'09 """,175.26,11 05,24/12/1937,32,Sao Paulo,Fluminense,Brazil,C
2,Brito,D,"6'00 """,182.88,12 11,08/09/1939,30,Rio de Janeiro,Flamengo,Brazil,C
3,Piazza,D,"5'09 """,175.26,11 09,25/02/1943,27,stream of snow,cruise,Brazil,C
4,Carlos Alberto,D,"5'11 """,180.34,12 02,17/06/1945,24,Rio de Janeiro,Saints,Brazil,C
5,Clodoaldo,M,"5'08 """,172.72,10 12,25/09/1949,20,Aracaju,Saints,Brazil,C
6,Marco Antonio,D,,,,06/02/1951,19,Saints,Fluminense,Brazil,C
7,Jairzinho,F,"5'11 """,180.34,12 04,25/12/1944,25,Rio de Janeiro,Botafogo,Brazil,C
8,G_rson,M,"5'07 """,170.18,10 12,11/01/1941,29,NiterÑi,Sao Paulo,Brazil,C
9,Penny,F,,,,25/01/1947,23,Belo Horizonte,cruise,Brazil,C
10,Skin,F,,,,23/10/1940,29,three hearts,Saints,Brazil,C
11,Rivelino,M,,,,01/01/1946,24,Sao Paulo,Corinthians,Brazil,C
12,Ado,G,,,,04/07/1944,25,South jaragua,Corinthians,Brazil,C
13,Roberto,M,,,,31/07/1944,25,Sao Goncalo,Botafogo,Brazil,C
14,Baldocchi,D,,,,14/03/1946,24,Batatais,Palm Trees,Brazil,C
15,Fontana,D,"5'11 """,180.34,10 12,31/12/1940,29,Santa Teresa,cruise,Brazil,C
16,Everaldo,D,"5'07 """,170.18,10 10,11/09/1944,25,Porto Alegre,Guild,Brazil,C
17,Joel,M,,,,18/09/1946,23,Saints,Saints,Brazil,C
18,Paulo Cesar,M,"5'09 """,175.26,11 07,16/06/1949,20,Rio de Janeiro,Botafogo,Brazil,C
19,Edu,F,,,,06/08/1949,20,Campinas,Saints,Brazil,C
20,Dario,F,,,,04/03/1946,24,Rio de Janeiro,Atl_tico Mineiro,Brazil,C
21,Z_ Maria,D,,,,18/05/1949,21,Botucatu,Portuguese,Brazil,C
22,Lion,G,,,,11/07/1949,20,Cheap flights from Sao Paulo Ribeirao Preto,Palm Trees,Brazil,C
1,Ivo Viktor,G,,,,21/05/1942,28,,Dukla Prague,Czechoslovakia,C
2,Karol Dobià_,D,"5'10""",177.8,11 09,18/12/1947,22,Handlovà,Spartak Trnava,Czechoslovakia,C
3,Vàclav Migas,D,"5'10""",177.8,12 04,16/09/1944,25,,Sparta Prague,Czechoslovakia,C
4,VladimÕr Hagara,D,"5'08""",172.72,11 00,07/11/1943,26,,Spartak Trnava,Czechoslovakia,C
5,Alexander Horvàth,D,"5'09""",175.26,09 13,28/12/1938,31,,Slovan Bratislava,Czechoslovakia,C
6,Andrej Kva__àk,M,"6'00""",182.88,12 08,19/05/1936,34,Ko_ice,KV Mechelen,Czechoslovakia,C
7,Bohumil Vesel_,M,"5'09""",175.26,11 00,18/06/1945,24,,Sparta Prague,Czechoslovakia,C
8,Ladislav Petrà_,F,"5'07""",170.18,11 03,01/12/1946,23,,Inter Bratislava,Czechoslovakia,C
9,Ladislav Kuna,M,"5'11""",180.34,12 08,03/04/1947,23,Hlohovec,Spartak Trnava,Czechoslovakia,C
10,Jozef Adamec,F,"5'10""",177.8,11 07,26/02/1942,28,Vrbov_,Spartak Trnava,Czechoslovakia,C
11,Karol Jokl,F,"5'10""",177.8,12 02,29/08/1945,24,,Slovan Bratislava,Czechoslovakia,C
12,Jàn PivarnÕk,D,,,,13/11/1947,22,,VS_ Kosice,Czechoslovakia,C
13,Anton Fle_àr,G,,,,08/05/1944,26,,Lokomotiva Ko_ice,Czechoslovakia,C
14,VladimÕr Hrivnàk,D,"5'10""",177.8,12 00,23/04/1945,25,,Slovan Bratislava,Czechoslovakia,C
15,Jàn Zlocha,D,"5'11""",180.34,12 06,24/03/1942,28,,Slovan Bratislava,Czechoslovakia,C
16,Ivan Hrdli_ka,M,"5'09""",175.26,11 09,20/11/1943,26,,Slovan Bratislava,Czechoslovakia,C
17,Jaroslav Pollàk,M,"5'09""",175.26,11 09,11/07/1947,22,,VS_ Kosice,Czechoslovakia,C
18,Franti_ek Vesel_,M,"5'06""",167.64,10 10,07/12/1943,26,Prague,Slavia Prague,Czechoslovakia,C
19,Josef Jurkanin,F,"5'09""",175.26,11 05,05/03/1949,21,,Sparta Prague,Czechoslovakia,C
20,Milan Albrecht,F,,,,16/07/1950,19,,Jednota Tren_Õn,Czechoslovakia,C
21,Jàn _apkovi_,F,"5'11""",180.34,12 00,11/01/1948,22,,Slovan Bratislava,Czechoslovakia,C
22,Alexander Vencel,G,"6'00""",182.88,12 06,08/02/1944,26,,Slovan Bratislava,Czechoslovakia,C
1,Gordon Banks,G,"6'00""",182.88,13 03,30/12/1937,32,Sheffield,Stoke C,England,C
2,Keith Newton,D,"5'11""",180.34,11 03,23/06/1941,28,Manchester,Everton,England,C
3,Terry Cooper,D,"5'07""",170.18,10 10,12/07/1944,25,Knottingley,Leeds U,England,C
4,Alan Mullery,M,"5'09""",175.26,11 09,23/11/1941,28,Notting Hill,Tottenham H,England,C
5,Brian Labone,D,"6'01""",185.42,13 05,23/01/1940,30,Liverpool,Everton,England,C
6,Bobby Moore,D,"5'10""",177.8,11 05,12/04/1941,29,London,West Ham U,England,C
7,Francis Lee,F,"5'08""",172.72,12 02,29/04/1944,26,Westhoughton,Manchester C,England,C
8,Alan Ball,M,"5'06""",167.64,10 06,12/05/1945,25,Farnworth,Everton,England,C
9,Bobby Charlton,M,"5'09""",175.26,11 05,11/10/1937,32,Ashington,Manchester U,England,C
10,Geoff Hurst,F,"5'11""",180.34,12 11,08/12/1941,28,Ashton-under-Lyne,West Ham U,England,C
11,Martin Peters,M,"6'00""",182.88,11 11,08/11/1943,26,Plaistow,Tottenham H,England,C
12,Peter Bonetti,G,"5'11""",180.34,11 00,27/09/1941,28,Putney,Chelsea,England,C
13,Alex Stepney,G,,,,18/09/1942,27,Mitcham,Manchester U,England,C
14,Tommy Wright,D,"5'08""",172.72,11 03,21/10/1944,25,Liverpool,Everton,England,C
15,Nobby Stiles,M,"5'06""",167.64,10 10,18/05/1942,28,Collyhurst,Manchester U,England,C
16,Emlyn Hughes,D,,,,28/08/1947,22,Barrow-in-Furness,Liverpool,England,C
17,Jack Charlton,D,"6'01""",185.42,12 13,08/05/1935,35,Ashington,Leeds U,England,C
18,Norman Hunter,D,"6'00""",182.88,12 08,24/10/1943,26,Eighton Banks,Leeds U,England,C
19,Colin Bell,M,"6'00""",182.88,11 07,26/02/1946,24,Hesleden,Manchester C,England,C
20,Peter Osgood,F,"6'02""",187.96,12 06,20/02/1947,23,Windsor,Chelsea,England,C
21,Allan Clarke,F,"6'00""",182.88,11 03,31/07/1946,23,Short Heath,Leeds U,England,C
22,Jeff Astle,F,"6'00""",182.88,11 07,13/05/1942,28,Eastwood,West Brom,England,C
1,Necula R_ducanu,G,,,,10/05/1946,24,Vl_deni,Rapid Bucure_ti,Romania,C
2,Lajos S_tm_reanu,D,"6'01""",185.42,13 01,21/02/1944,26,,Steaua Bucure_ti,Romania,C
3,Nicolae Lupescu,D,"5'10""",177.8,11 00,17/12/1940,29,Bucharest,Rapid Bucure_ti,Romania,C
4,Mihai Mocanu,D,"5'10""",177.8,11 05,24/02/1942,28,Constan_a,Petrolul Ploie_ti,Romania,C
5,Cornel Dinu,D,"6'01""",185.42,12 04,02/08/1948,21,Tärgovi_te,Dinamo Bucure_ti,Romania,C
6,Dan Coe,D,,,,08/08/1941,28,Bucharest,Rapid Bucure_ti,Romania,C
7,Emerich Dembrovschi,M,"5'11""",180.34,12 00,06/10/1945,24,,Dinamo Bac_u,Romania,C
8,Nicolae Dobrin,M,,,,26/08/1947,22,Pite_ti,Arge_ Pite_ti,Romania,C
9,Florea Dumitrache,F,"5'09""",175.26,11 00,22/05/1948,22,Bucharest,Dinamo Bucure_ti,Romania,C
10,Radu Nunweiller,M,"5'10""",177.8,11 00,16/11/1944,25,,Dinamo Bucure_ti,Romania,C
11,Mircea Lucescu,M,"5'09""",175.26,11 00,29/07/1945,24,Bucharest,Dinamo Bucure_ti,Romania,C
12,Mihai Iv_ncescu,F,,,,22/03/1942,28,,Steagul Bra_ov,Romania,C
13,Augustin Deleanu,F,,,,27/08/1944,25,,Dinamo Bucure_ti,Romania,C
14,Vasile Gergely,M,"5'08""",172.72,10 10,28/10/1941,28,Baia Mare,Dinamo Bucure_ti,Romania,C
15,Ion Dumitru,M,"5'07""",170.18,10 03,02/01/1950,20,,Rapid Bucure_ti,Romania,C
16,Alexandru Neagu,F,"5'09""",175.26,10 12,19/07/1948,21,,Rapid Bucure_ti,Romania,C
17,Gheorghe T_taru,F,"5'06""",167.64,09 13,05/05/1948,22,Bucharest,Steaua Bucure_ti,Romania,C
18,Marin Tufan,F,,,,16/10/1942,27,,Farul Constan_a,Romania,C
19,Flavius Domide,F,,,,11/05/1946,24,,UTA Arad,Romania,C
20,Nicolae Pescaru,D,,,,27/03/1943,27,,Steagul ro_u Bra_ov,Romania,C
21,Stere Adamache,G,"6'00""",182.88,12 02,17/08/1941,28,,Steagul ro_u Bra_ov,Romania,C
22,Gheorghe Gornea,G,,,,02/08/1944,25,,UTA Arad,Romania,C
1,Simeon Simeonov,G,"5'11""",180.34,11 11,26/04/1946,24,,Slavia Sofia,Bulgaria,D
2,Aleksandar Shalamanov,D,"5'10""",177.8,11 03,04/09/1941,28,,Slavia Sofia,Bulgaria,D
3,Ivan Dimitrov,D,"6'02""",187.96,13 03,14/05/1935,35,,Akademik Sofia,Bulgaria,D
4,Stefan Aladzhov,D,,,,18/10/1947,22,,Levski Sofia,Bulgaria,D
5,Ivan Davidov,M,"5'10""",177.8,11 03,05/10/1943,26,,Slavia Sofia,Bulgaria,D
6,Dimitar Penev,D,"5'09""",175.26,11 11,12/07/1945,24,,CSKA Sofia,Bulgaria,D
7,Georgi Popov,F,"5'07""",170.18,10 12,14/07/1944,25,,Trakia Plovdiv,Bulgaria,D
8,Hristo Bonev,M,"5'10""",177.8,12 02,03/02/1947,23,Plovdiv,Lokomotiv Plovdiv,Bulgaria,D
