Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
4,Joseph Bonnel,M,"5'07""",170.18,10 06,04/01/1939,27,Florensac,Valenciennes,France,A
5,Bernard Bosquier,D,"5'10""",177.8,12 04,19/06/1942,24,Thonon-les-Bains,Sochaux,France,A
6,Robert Budzinski,D,"5'09""",175.26,11 05,21/05/1940,26,Calonne-Ricouart,Nantes,France,A
7,Andr_ Chorda,D,,,,20/02/1938,28,Charleval,Bordeaux,France,A
8,Nestor Combin,F,,,,29/12/1940,25,Las Rosas,Varese,France,A
9,Didier Cou_cou,F,"5'08""",172.72,10 10,25/07/1944,21,Caud_ran,Bordeaux,France,A
10,H_ctor De Bourgoing,F,"5'08""",172.72,11 05,23/07/1934,31,Posadas,Bordeaux,France,A
11,Gabriel De Michele,D,"5'09""",175.26,11 03,06/03/1941,25,Saint-Etienne,Nantes,France,A
12,Jean Djorkaeff,D,"5'08""",172.72,11 05,27/10/1939,26,Charvieu,Lyon,France,A
13,Philippe Gondet,F,"5'08""",172.72,10 12,17/05/1942,24,Blois,Nantes,France,A
14,G_rard Hausser,F,"5'09""",175.26,10 12,28/10/1941,24,Strasbourg,Strasbourg,France,A
15,Yves Herbet,M,"5'06""",167.64,10 03,17/08/1945,20,Villers-Cotterêts,Sedan,France,A
16,Robert Herbin,M,"5'10""",177.8,11 09,30/03/1939,27,Paris,St-Etienne,France,A
17,Lucien Muller,M,,,,03/09/1934,31,Bischwiller,Barcelona,France,A
18,Jean-Claude Piumi,M,,,,27/05/1940,26,Giraumont,Valenciennes,France,A
19,Laurent Robuschi,F,"5'05""",165.1,10 08,05/11/1935,30,Nice,Bordeaux,France,A
20,Jacques Simon,F,"5'08""",172.72,10 01,25/03/1941,25,Omonville-la-Rogue,Nantes,France,A
21,Georges Carnus,G,"5'10""",177.8,11 05,13/08/1940,25,Gignac-la-Nerthe,Stade Français,France,A
22,Johny Schuth,G,,,,07/12/1941,24,Saint-Omer,Strasbourg,France,A
1,Antonio Carbajal,G,"5'11""",180.34,11 09,07/06/1929,37,Mexico City,Le—n,Mexico,A
2,Arturo Chaires,D,"5'07""",170.18,10 12,14/03/1937,29,,Guadalajara,Mexico,A
3,Gustavo Pe–a,D,"6'00""",182.88,12 06,22/11/1941,24,,Oro,Mexico,A
4,Jesœs del Muro,D,"5'10""",177.8,11 09,30/11/1937,28,,Veracruz,Mexico,A
5,Ignacio J‡uregui,D,"5'08""",172.72,11 03,31/07/1938,27,,Atlas,Mexico,A
6,Isidoro D’az,M,"5'06""",167.64,10 03,14/03/1940,26,,Guadalajara,Mexico,A
7,Felipe Ruvalcaba,F,,,,16/02/1941,25,,Oro,Mexico,A
8,Aar—n Padilla,F,"5'09""",175.26,10 10,10/07/1942,24,,UNAM,Mexico,A
9,Ernesto Cisneros,M,"5'11""",180.34,11 05,26/10/1940,25,,Atlas,Mexico,A
10,Javier Fragoso,F,"5'10""",177.8,11 11,19/04/1942,24,,Am_rica,Mexico,A
11,Francisco Jara,F,,,,03/02/1941,25,,Nuevo Le—n,Mexico,A
12,Ignacio Calder—n,G,"6'00""",182.88,12 11,13/12/1943,22,,Guadalajara,Mexico,A
13,Jos_ Luis Gonz‡lez,D,"5'09""",175.26,10 10,14/09/1942,23,,Necaxa,Mexico,A
14,Gabriel Nœ–ez,D,,,,06/02/1942,24,,Zacatepec,Mexico,A
15,Guillermo Hern‡ndez,M,"5'08""",172.72,11 09,25/06/1942,24,,Atlas,Mexico,A
16,Luis Regueiro,M,,,,22/12/1943,22,,UNAM,Mexico,A
17,Magdeleno Mercado,M,,,,04/04/1944,22,,Atlas,Mexico,A
18,El’as Mu–oz,F,,,,03/11/1941,24,,Nuevo Le—n,Mexico,A
19,Salvador Reyes,F,"5'08""",172.72,11 00,20/09/1936,29,,Guadalajara,Mexico,A
20,Enrique Borja,M,"5'09""",175.26,10 01,30/12/1945,20,,UNAM,Mexico,A
21,Ramiro Navarro,F,,,,25/05/1943,23,,Oro,Mexico,A
22,Javier Vargas,G,,,,22/11/1941,24,,Atlas,Mexico,A
1,Ladislao Mazurkiewicz,G,"5'10""",177.8,12 04,14/02/1945,21,Montevideo,Pe–arol,Uruguay,A
2,Horacio Troche,D,"5'08""",172.72,11 00,14/02/1936,30,,Cerro,Uruguay,A
3,Jorge Manicera,D,"5'10""",177.8,11 00,04/11/1938,27,Montevideo,Nacional [URU],Uruguay,A
4,Pablo Forl‡n,D,"6'00""",182.88,12 06,14/07/1945,20,Soriano,Pe–arol,Uruguay,A
5,N_stor Gonçalves,D,"5'10""",177.8,11 09,27/04/1936,30,,Pe–arol,Uruguay,A
6,Omar Caetano,M,"5'06""",167.64,10 08,09/11/1938,27,,Pe–arol,Uruguay,A
7,Julio C_sar Cort_s,M,"5'09""",175.26,11 05,29/03/1941,25,,Pe–arol,Uruguay,A
8,Jos_ Urrusmendi,F,,,,25/08/1944,21,,Nacional [URU],Uruguay,A
9,Jos_ Sac’a,F,"5'09""",175.26,12 04,27/12/1933,32,,Defensor Sporting,Uruguay,A
10,Pedro Rocha,M,"5'11""",180.34,12 04,03/12/1942,23,Salto,Pe–arol,Uruguay,A
11,Domingo P_rez,M,"5'07""",170.18,11 07,07/06/1936,30,,Nacional [URU],Uruguay,A
12,Roberto Sosa,G,"5'10""",177.8,11 09,14/06/1935,31,,Nacional [URU],Uruguay,A
13,Nelson D’az,D,,,,12/01/1942,24,,Pe–arol,Uruguay,A
14,Emilio çlvarez,D,"6'00""",182.88,12 08,10/02/1939,27,,Nacional [URU],Uruguay,A
15,Luis Ubi–as,M,"5'10""",177.8,12 04,07/06/1940,26,,Rampla Juniors,Uruguay,A
16,Eliseo çlvarez,D,"5'06""",167.64,11 00,09/08/1940,25,,Rampla Juniors,Uruguay,A
17,H_ctor Salva,F,"5'07""",170.18,10 12,27/11/1939,26,,Danubio,Uruguay,A
18,Milton Viera,F,"5'09""",175.26,11 07,11/05/1946,20,,Nacional [URU],Uruguay,A
19,H_ctor Silva,M,"5'09""",175.26,11 03,01/02/1940,26,,Pe–arol,Uruguay,A
20,Luis Ramos,F,,,,09/10/1939,26,,Pe–arol,Uruguay,A
21,V’ctor Esp‡rrago,M,"5'09""",175.26,11 07,06/10/1944,21,Montevideo,Pe–arol,Uruguay,A
22,Walter Taibo,G,,,,07/03/1931,35,,Pe–arol,Uruguay,A
1,Antonio Roma,G,"5'10""",177.8,12 08,13/07/1932,33,Villa Lugano,Boca Juniors,Argentina,B
2,Rolando Irusta,G,,,,27/03/1938,28,,Lanœs,Argentina,B
3,Hugo Gatti,G,,,,19/08/1944,21,Carlos Tejedor,River Plate,Argentina,B
4,Roberto Perfumo,D,"5'10""",177.8,11 11,03/10/1942,23,Sarand’,Racing Club,Argentina,B
5,Jos_ Varacka,M,"6'00""",182.88,12 04,27/05/1932,34,,San Lorenzo,Argentina,B
6,Oscar Calics,D,"5'10""",177.8,12 04,18/11/1939,26,,San Lorenzo,Argentina,B
7,Silvio Marzolini,D,"6'00""",182.88,12 08,04/10/1940,25,Buenos Aires,Boca Juniors,Argentina,B
8,Roberto Ferreiro,M,"5'09""",175.26,11 03,25/04/1935,31,,Independiente,Argentina,B
9,Carmelo Simeone,M,,,,22/09/1934,31,,Boca Juniors,Argentina,B
10,Antonio Ratt’n,M,"6'03""",190.5,13 12,16/05/1937,29,Tigre,Boca Juniors,Argentina,B
11,Jos_ Omar Pastoriza,M,,,,23/05/1942,24,Rosario,Independiente,Argentina,B
12,Jos_ Albrecht,M,"5'10""",177.8,12 00,23/08/1941,24,,San Lorenzo,Argentina,B
13,Nelson L—pez,M,,,,24/06/1941,25,,Banfield,Argentina,B
14,Mario Chaldœ,F,,,,06/06/1942,24,,San Lorenzo,Argentina,B
15,Jorge Solari,F,"5'08""",172.72,11 00,11/01/1941,25,,River Plate,Argentina,B
16,Alberto Gonz‡lez,F,"5'08""",172.72,11 00,21/08/1941,24,,Boca Juniors,Argentina,B
17,Juan Carlos Sarnari,F,,,,22/01/1942,24,,River Plate,Argentina,B
18,Alfredo Rojas,F,"6'00""",182.88,12 13,20/02/1937,29,Lanœs,Boca Juniors,Argentina,B
19,Luis Artime,F,"5'09""",175.26,11 07,12/12/1938,27,Parque Civit,Independiente,Argentina,B
20,Ermindo Onega,F,"5'09""",175.26,11 11,30/04/1940,26,River Plate,River Plate,Argentina,B
21,Oscar M‡s,F,"5'06""",167.64,10 06,29/10/1946,19,,River Plate,Argentina,B
22,An’bal Tarabini,F,,,,04/08/1941,24,,Independiente,Argentina,B
1,Jos_ çngel Iribar,G,,,,01/03/1943,23,Zarauz,Athletic Bilbao,Spain,B
2,Manuel Sanch’s,D,"5'07""",170.18,10 03,26/03/1938,28,Alberique,Real Madrid,Spain,B
3,Eladio,D,,,,18/11/1940,25,Sabadell,Barcelona,Spain,B
4,Luis del Sol,M,"5'07""",170.18,"5'07""",06/04/1935,31,Arcos del Jal—n,Juventus,Spain,B
5,Ignacio Zoco,M,"6'00""",182.88,12 08,31/07/1939,26,Garde,Real Madrid,Spain,B
6,Jesœs Glar’a,M,"5'10""",177.8,11 09,02/01/1942,24,Villafranca,Atl_tico Madrid,Spain,B
7,Jos_ Ufarte,F,"5'07""",170.18,09 13,17/05/1941,25,Pontevedra,Atl_tico Madrid,Spain,B
8,Amancio,M,"5'09""",175.26,,16/10/1939,26,La Coru–a,Real Madrid,Spain,B
9,Marcelino,F,"5'08""",172.72,11 03,29/04/1940,26,Ares,Zaragoza,Spain,B
10,Luis Su‡rez,M,"5'10""",177.8,11 05,02/05/1935,31,La Coru–a,Internazionale,Spain,B
11,Francisco Gento,M,,,,21/10/1933,32,Guarnizo,Real Madrid,Spain,B
12,Antonio Betancort,G,"6'00""",182.88,12 08,13/03/1937,29,Arrecife,Real Madrid,Spain,B
13,Miguel Reina,G,,,,24/01/1946,20,C—rdoba,C—rdoba,Spain,B
14,Feliciano Rivilla,D,"5'06""",167.64,10 08,21/08/1936,29,çvila,Atl_tico Madrid,Spain,B
15,Severino Reija,D,"5'06""",167.64,11 03,25/11/1938,27,Lugo,Zaragoza,Spain,B
16,Fernando Olivella,M,,,,22/06/1936,30,Pueblo Seco,Barcelona,Spain,B
17,Gallego,M,"5'10""",177.8,11 11,03/03/1944,22,Puerto Real,Barcelona,Spain,B
18,Pirri,M,,,,11/03/1945,21,Ceuta,Real Madrid,Spain,B
19,Josep Fust_,M,"5'09""",175.26,11 05,15/04/1942,24,Li–ola,Barcelona,Spain,B
20,Joaqu’n Peir—,M,,,,29/01/1936,30,Madrid,Internazionale,Spain,B
21,Adelardo,F,"5'10""",177.8,11 03,26/09/1939,26,Badajoz,Atl_tico Madrid,Spain,B
22,Carlos Lapetra,F,"5'09""",175.26,11 00,29/11/1938,27,Zaragoza,Zaragoza,Spain,B
1,Charles Elsener,G,"5'11""",180.34,12 13,13/08/1934,31,,Lausanne,Switzerland,B
2,Willy Allemann,F,,,,10/06/1942,24,,Grenchen,Switzerland,B
3,Kurt Armbruster,M,"5'07""",170.18,11 00,16/09/1934,31,,Lausanne,Switzerland,B
4,Heinz B_ni,M,,,,18/11/1936,29,,FC ZŸrich,Switzerland,B
5,Ren_ Brodmann,D,"5'09""",175.26,11 00,25/10/1933,32,,FC ZŸrich,Switzerland,B
6,Richard DŸrr,M,,,,01/12/1938,27,,Lausanne,Switzerland,B
7,Hansruedi Fuhrer,D,"5'09""",175.26,11 07,24/12/1937,28,,Young Boys,Switzerland,B
8,Vottore Gottardi,F,"5'06""",167.64,10 03,24/09/1941,24,,Lugano,Switzerland,B
9,Andr_ Grobety,D,"5'07""",170.18,11 00,22/06/1933,33,,Lausanne,Switzerland,B
10,Robert Hosp,F,"5'09""",175.26,11 00,13/12/1939,26,,Lausanne,Switzerland,B
11,K_bi Kuhn,M,"5'09""",175.26,11 11,12/10/1943,22,ZŸrich,FC ZŸrich,Switzerland,B
12,L_o Eichmann,G,"5'08""",172.72,10 12,24/12/1936,29,,La Chaux-de-Fonds,Switzerland,B
13,Fritz KŸnzli,F,"5'10""",177.8,11 07,08/01/1946,20,,FC ZŸrich,Switzerland,B
14,Werner Leimgruber,D,"5'09""",175.26,11 09,02/09/1934,31,,FC ZŸrich,Switzerland,B
15,Karl Odermatt,F,"6'00""",182.88,11 09,17/12/1942,23,,Basel,Switzerland,B
16,Ren_-Pierre Quentin,F,"5'10""",177.8,11 05,05/08/1943,22,Collombey-Muraz,Sion,Switzerland,B
17,Jean-Claude Schindelholz,F,"5'08""",172.72,11 00,11/10/1940,25,,Servette,Switzerland,B
18,Heinz Schneiter,D,"6'02""",187.96,13 05,12/04/1935,31,Thun,Young Boys,Switzerland,B
19,Xaver Stierli,D,"5'08""",172.72,11 03,29/10/1940,25,,FC ZŸrich,Switzerland,B
20,Ely Tacchella,D,"5'09""",175.26,10 08,25/05/1936,30,,Lausanne,Switzerland,B
21,Georges Vuilleumier,F,,,,21/09/1944,21,,Lausanne,Switzerland,B
22,Mario Prosperi,G,,,,04/08/1945,20,Melide,Lugano,Switzerland,B
1,Hans Tilkowski,G,,,,12/07/1935,30,Husen,Borussia Dortmund,West Germany,B
2,Horst-Dieter H_ttges,D,"5'09""",175.26,11 07,10/09/1943,22,M_nchengladbach,Werder Bremen,West Germany,B
3,Karl-Heinz Schnellinger,D,"5'11""",180.34,12 06,31/03/1939,27,DŸren,Milan,West Germany,B
4,Franz Beckenbauer,D,"5'11""",180.34,11 11,11/09/1945,20,Munich,Bayern Munich,West Germany,B
5,Willi Schulz,D,"5'11""",180.34,11 09,04/10/1938,27,Bochum,Hamburg,West Germany,B
6,Wolfgang Weber,D,"5'10""",177.8,12 06,26/06/1944,22,,K_ln,West Germany,B
7,Albert BrŸlls,M,"5'07""",170.18,11 05,26/03/1937,29,Anrath,Brescia,West Germany,B
8,Helmut Haller,M,"5'10""",177.8,12 04,21/07/1939,26,Augsburg,Bologna,West Germany,B
9,Uwe Seeler,F,"5'07""",170.18,11 11,05/11/1936,29,Hamburg,Hamburg,West Germany,B
10,Siegfried Held,F,"5'11""",180.34,11 11,07/08/1942,23,Freudenthal,Borussia Dortmund,West Germany,B
11,Lothar Emmerich,F,"6'00""",182.88,12 08,29/11/1941,24,Dortmund-Dorstfeld,Borussia Dortmund,West Germany,B
12,Wolfgang Overath,M,"5'09""",175.26,11 03,29/09/1943,22,Siegburg,K_ln,West Germany,B
13,Heinz Hornig,F,,,,28/09/1937,28,Gelsenkirchen,K_ln,West Germany,B
14,Friedel Lutz,D,"5'10""",177.8,11 05,21/01/1939,27,Bad Vilbel,Eintracht Frankfurt,West Germany,B
15,Bernd Patzke,D,,,,14/03/1943,23,Berlin,1860 Munich,West Germany,B
16,Max Lorenz,M,"6'01""",185.42,12 11,19/08/1939,26,Bremen,Werder Bremen,West Germany,B
17,Wolfgang Paul,D,,,,25/01/1940,26,,Borussia Dortmund,West Germany,B
18,Klaus-Dieter Sieloff,D,"6'01""",185.42,,27/02/1942,24,,Stuttgart,West Germany,B
19,Werner Kr_mer,F,"5'08""",172.72,10 12,23/01/1940,26,Duisburg,Meidericher SV,West Germany,B
20,JŸrgen Grabowski,F,"5'09""",175.26,10 08,07/07/1944,22,Wiesbaden,Eintracht Frankfurt,West Germany,B
21,GŸnter Bernard,G,"5'10""",177.8,,04/11/1939,26,Schweinfurt,Werder Bremen,West Germany,B
22,Sepp Maier,G,"6'00""",182.88,12 04,28/02/1944,22,Metten,Bayern Munich,West Germany,B
1,Gilmar,G,"5'11 """,180.34,11 05,22/07/1930,35,Saints,Saints,Brazil,C
2,Djalma Santos,D,"5'08 """,172.72,11 07,27/02/1929,37,Sao Paulo,Palm Trees,Brazil,C
3,Fidelis,D,"5'09 """,175.26,11 09,13/03/1944,22,,Bangu,Brazil,C
4,Bellini,D,"5'11 """,180.34,13 01,07/06/1930,36,Itapira,Sao Paulo,Brazil,C
5,Brito,D,"6'00 """,182.88,12 11,08/09/1939,26,Rio de Janeiro,Vasco da Gama,Brazil,C
6,Altair,D,,,,22/01/1938,28,Niter—i,Fluminense,Brazil,C
7,Orlando,M,,,,20/09/1935,30,,Saints,Brazil,C
8,Paulo Henrique,D,,,,05/01/1943,23,,Flamengo,Brazil,C
9,Rildo,F,,,,23/01/1942,24,Recife,Botafogo,Brazil,C
10,Skin,F,,,,23/10/1940,25,three hearts,Saints,Brazil,C
11,G_rson,M,"5'07 """,170.18,10 12,11/01/1941,25,Niter—i,Botafogo,Brazil,C
12,Mango,G,,,,26/04/1937,29,Recife,Botafogo,Brazil,C
13,Denilson,M,"5'11 """,180.34,11 11,28/03/1943,23,Campos dos Goytacazes,Fluminense,Brazil,C
14,lime,M,,,,18/01/1942,24,,Saints,Brazil,C
15,Zito,M,,,,08/08/1932,33,Rose bush,Saints,Brazil,C
16,Garrincha,F,"5'07 """,170.18,11 05,28/10/1933,32,Big Dick,Corinthians,Brazil,C
17,Jairzinho,F,"5'11 """,180.34,12 04,25/12/1944,21,Rio de Janeiro,Botafogo,Brazil,C
18,Alcindo,M,"5'08 """,172.72,11 03,16/12/1945,20,,Guild,Brazil,C
19,Silva,F,"5'08 """,172.72,11 05,02/01/1940,26,,Flamengo,Brazil,C
20,Penny,F,,,,25/01/1947,19,Belo Horizonte,cruise,Brazil,C
21,Paran‡,F,,,,23/03/1942,24,Will change,Sao Paulo,Brazil,C
22,Edu,F,,,,06/08/1949,16,Campinas,Saints,Brazil,C
1,Georgi Naydenov,G,"5'10""",177.8,12 04,21/12/1931,34,,CSKA Sofia,Bulgaria,C
2,Aleksandar Shalamanov,D,"5'10""",177.8,11 03,04/09/1941,24,,Slavia Sofia,Bulgaria,C
3,Ivan Vutsov,D,,,,14/12/1939,26,Gabrovo,Levski Sofia,Bulgaria,C
4,Boris Gaganelov,D,"5'10""",177.8,11 09,07/10/1941,24,,CSKA Sofia,Bulgaria,C
5,Dimitar Penev,D,"5'09""",175.26,11 11,12/07/1945,20,,CSKA Sofia,Bulgaria,C
6,Petar Zhekov,F,,,,10/01/1944,22,Knizhovnik,PFK Beroe,Bulgaria,C
7,Dinko Dermendzhiev,M,"5'09""",175.26,10 12,02/06/1941,25,,Botev Plovdiv,Bulgaria,C
8,Stoyan Kitov,D,"5'09""",175.26,10 10,27/08/1938,27,,Spartak Sofia,Bulgaria,C
9,Georgi Asparuhov,F,,,,04/05/1943,23,Sofia,Levski Sofia,Bulgaria,C
10,Dobromir Zhechev,D,,,,12/11/1942,23,Sofia,Spartak Sofia,Bulgaria,C
11,Ivan Kolev,F,"5'07""",170.18,10 06,01/11/1930,35,,CSKA Sofia,Bulgaria,C
12,Vasil Metodiev,D,,,,06/01/1935,31,,Lokomotiv Sofia,Bulgaria,C
13,Dimitar Yakimov,M,,,,12/08/1941,24,,CSKA Sofia,Bulgaria,C
14,Nikola Kotkov,F,"5'09""",175.26,11 00,09/12/1938,27,Sofia,Lokomotiv Sofia,Bulgaria,C
15,Dimitar Largov,D,"5'09""",175.26,11 11,10/09/1936,29,,Slavia Sofia,Bulgaria,C
16,Aleksandar Kostov,F,"5'09""",175.26,11 00,05/03/1938,28,,Levski Sofia,Bulgaria,C
17,Stefan Abadzhiev,F,,,,03/07/1934,32,,Levski Sofia,Bulgaria,C
18,Evgeni Yanchovski,M,,,,05/09/1939,26,,PFK Beroe,Bulgaria,C
19,Vidin Apostolov,D,,,,17/10/1941,24,,Botev Plovdiv,Bulgaria,C
20,Ivan Davidov,M,"5'10""",177.8,11 03,05/10/1943,22,,Slavia Sofia,Bulgaria,C
21,Simeon Simeonov,G,"5'11""",180.34,11 11,26/04/1946,20,,Slavia Sofia,Bulgaria,C
22,Ivan Deyanov,G,,,,16/12/1937,28,,Lokomotiv Sofia,Bulgaria,C
1,Antal Szentmih‡lyi,G,"6'00""",182.88,12 04,03/06/1937,29,,òjpesti D—zsa,Hungary,C
2,Ben_ K‡poszta,D,"5'10""",177.8,11 07,07/06/1942,24,,òjpesti D—zsa,Hungary,C
3,S‡ndor M‡trai,D,"6'00""",182.88,12 04,20/11/1932,33,,Ferencv‡ros,Hungary,C
4,K‡lm‡n S—v‡ri,D,,,,21/12/1940,25,,òjpesti D—zsa,Hungary,C
5,K‡lm‡n M_sz_ly,D,,,,16/07/1941,24,,Vasas,Hungary,C
6,Ferenc Sipos,M,"5'11""",180.34,12 00,13/12/1932,33,,Budapest Honv_d,Hungary,C
7,Ferenc Bene,F,"5'07""",170.18,11 00,17/12/1944,21,Budapest,òjpesti D—zsa,Hungary,C
8,Zolt‡n Varga,M,,,,01/01/1945,21,,Ferencv‡ros,Hungary,C
9,Fl—ri‡n Albert,M,"5'11""",180.34,11 05,15/09/1941,24,Hercegsz‡nt—,Ferencv‡ros,Hungary,C
10,J‡nos Farkas,M,"5'10""",177.8,11 09,27/03/1942,24,,Vasas,Hungary,C
11,Gyula R‡kosi,M,"5'09""",175.26,10 12,09/10/1938,27,,Ferencv‡ros,Hungary,C
12,M‡t_ Fenyvesi,F,"5'09""",175.26,10 10,20/09/1933,32,,Ferencv‡ros,Hungary,C
13,Imre Mathesz,M,"5'09""",175.26,10 12,25/03/1937,29,,Vasas,Hungary,C
14,Istv‡n Nagy,M,"5'09""",175.26,11 00,14/04/1939,27,,MTK,Hungary,C
15,Dezs_ Moln‡r,F,,,,02/12/1939,26,,Vasas,Hungary,C
16,Lajos Tichy,F,,,,21/03/1935,31,,Budapest Honv_d,Hungary,C
17,Guszt‡v Szepesi,D,,,,05/02/1922,44,,B‡ny‡sz Tatab‡nyai,Hungary,C
18,K‡lm‡n Ih‡sz,D,,,,06/12/1941,24,,Vasas,Hungary,C
19,Lajos Pusk‡s,F,,,,03/08/1944,21,,Vasas,Hungary,C
20,Antal Nagy,F,"5'10""",177.8,12 00,16/05/1944,22,,Budapest Honv_d,Hungary,C
21,J—zsef Gelei,G,"5'11""",180.34,12 06,29/06/1938,28,,B‡ny‡sz Tatab‡nyai,Hungary,C
22,Istv‡n G_czi,G,,,,13/06/1944,22,,Ferencv‡ros,Hungary,C
1,Am_rico Lopes,G,,,,06/03/1933,33,,Port,Portugal,C
2,Joaquim Carvalho,G,"5'11 """,180.34,12 06,18/04/1937,29,,Sporting CP,Portugal,C
3,Jos_ Pereira,G,"5'10 """,177.8,11 11,15/09/1931,34,,Belenenses,Portugal,C
4,Vicente Lucas,M,,,,24/09/1935,30,,Belenenses,Portugal,C
5,German,D,,,,18/01/1933,33,,Benfica,Portugal,C
6,Fernando Peres,M,,,,08/01/1942,24,,Sporting CP,Portugal,C
7,Ernesto Figueiredo,F,,,,06/07/1937,29,,Sporting CP,Portugal,C
8,Jo‹o Lourenço,F,,,,08/04/1942,24,,Sporting CP,Portugal,C
9,Hilarious,D,,,,19/03/1929,37,Lourenço Marques,Sporting CP,Portugal,C
10,M‡rio Coluna,M,"5'08 """,172.72,12 00,06/08/1935,30,Inhaca,Benfica,Portugal,C
11,Ant—nio Sim›es,M,,,,14/12/1943,22,Corroios,Benfica,Portugal,C
12,Jose Augusto,F,,,,13/04/1937,29,Barreiro,Benfica,Portugal,C
13,Eusebio,F,"5'09 """,175.26,11 07,25/01/1942,24,Lourenço Marques,Benfica,Portugal,C
14,Fernando Cruz,M,,,,12/08/1940,25,,Benfica,Portugal,C
15,Manuel Duarte,F,,,,20/05/1943,23,,Leix›es,Portugal,C
16,Jaime Graça,M,"5'04 """,162.56,09 13,30/01/1942,24,,Vitoria Setubal,Portugal,C
17,Jo‹o Morais,D,"5'06 """,167.64,11 11,06/03/1935,31,,Sporting CP,Portugal,C
18,Jos_ Torres,F,,,,08/09/1938,27,Torres Novas,Benfica,Portugal,C
19,Cust—dio Pinto,M,,,,09/02/1942,24,,Port,Portugal,C
20,Alexandre Baptista,D,"5'10 """,177.8,11 09,17/02/1941,25,,Sporting CP,Portugal,C
21,Jose Carlos,D,"5'09 """,175.26,11 05,22/09/1941,24,,Sporting CP,Portugal,C
22,Alberto Festa,D,"5'10 """,177.8,11 05,07/07/1939,27,,Port,Portugal,C
1,Pedro Araya,F,"5'08""",172.72,10 12,23/01/1942,24,,Universidad de Chile,Chille,D
2,Hugo Berly,D,,,,31/12/1941,24,,Audax Italiano,Chille,D
3,Carlos Campos,F,"5'09""",175.26,11 07,14/02/1937,29,,Universidad de Chile,Chille,D
4,Humberto Cruz,D,"5'05""",165.1,10 03,08/12/1939,26,,Colo-Colo,Chille,D
5,Humberto Donoso,D,,,,09/10/1938,27,,Universidad de Chile,Chille,D
6,Luis Eyzaguirre,D,"5'06""",167.64,10 10,22/07/1941,24,Santiago,Universidad de Chile,Chille,D
7,El’as Figueroa,D,"6'00""",182.88,12 11,25/10/1946,19,Valpara’so,Santiago Wanderers,Chille,D
8,Alberto Fouilloux,M,"5'09""",175.26,12 00,22/11/1940,25,,Universidad Cat—lica,Chille,D
9,Ad‡n Godoy,G,"5'09""",175.26,11 07,26/11/1936,29,,Universidad Cat—lica,Chille,D
10,Roberto Hodge,M,,,,30/07/1944,21,,Universidad de Chile,Chille,D
11,Honorino Landa,F,"5'07""",170.18,11 05,01/06/1942,24,,Green Cross,Chille,D
12,Rub_n Marcos,M,"5'11""",180.34,12 02,06/12/1942,23,,Universidad de Chile,Chille,D
