Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
22,Ricardo Villa,M,"6'01""",185.42,13 01,18/08/1952,25,Roque P_rez,Racing Club,Argentina,A
1,Dominique Baratelli,G,"5'10""",177.8,11 11,16/12/1947,30,Nice,Nice,France,A
2,Patrick Battiston,D,"6'00""",182.88,11 11,12/03/1957,21,Amn_ville,Metz,France,A
3,Maxime Bossis,D,"6'01""",185.42,12 06,25/06/1955,22,Saint-Andr_,Nantes,France,A
4,G_rard Janvion,D,"5'08""",172.72,10 12,21/08/1953,24,Fort-de-France,St-Etienne,France,A
5,François Bracci,D,"6'01""",185.42,12 04,31/10/1951,26,Calcatoggio,Marseille,France,A
6,Christian Lopez,D,"5'10""",177.8,11 07,15/03/1953,25,A•n T_mouchent,St-Etienne,France,A
7,Patrice Rio,D,"6'00""",182.88,12 04,15/08/1948,29,Quevilly,Nantes,France,A
8,Marius Tr_sor,D,"6'00""",182.88,12 08,15/01/1949,29,Saint-Anne,Marseille,France,A
9,Dominique Bathenay,M,"5'11""",180.34,11 07,13/02/1954,24,Pont-d'Ain,St-Etienne,France,A
10,Jean-Marc Guillou,M,"5'09""",175.26,11 09,20/12/1945,32,Bouaye,Nice,France,A
11,Henri Michel,M,,,,28/10/1947,30,Aix-en-Provence,Nantes,France,A
12,Claude Papi,M,"5'09""",175.26,10 08,16/04/1949,29,Porto-Vecchio,Bastia,France,A
13,Jean Petit,M,"5'09""",175.26,10 10,25/09/1949,28,Toulouse,Monaco,France,A
14,Marc Berdoll,F,"5'07""",170.18,10 12,06/04/1953,25,Tr_laz_,Marseille,France,A
15,Michel Platini,M,"5'10""",177.8,11 07,21/06/1955,22,JÏuf,Nancy,France,A
16,Christian Dalger,F,"5'06""",167.64,10 08,18/12/1949,28,N”mes,Monaco,France,A
17,Bernard Lacombe,F,"5'07""",170.18,10 10,15/08/1952,25,Lyon,Lyon,France,A
18,Dominique Rocheteau,F,"5'10""",177.8,11 05,14/01/1955,23,Saintes,St-Etienne,France,A
19,Didier Six,F,"5'10""",177.8,11 11,21/08/1954,23,Lille,Lens,France,A
20,Olivier Rouyer,F,"5'07""",170.18,10 10,01/12/1955,22,Meurthe-et-Moselle,Nancy,France,A
21,Jean-Paul Bertrand-Demanes,G,"6'02""",187.96,13 01,23/05/1952,26,Casablanca,Nantes,France,A
22,Dominique Dropsy,G,"6'00""",182.88,12 00,09/12/1951,26,Leuze,Strasbourg,France,A
1,S‡ndor Gujd‡r,G,"6'00""",182.88,11 00,08/11/1951,26,,Budapest Honv_d,Hungary,A
2,P_ter T_r_k,D,"5'10""",177.8,11 03,18/04/1951,27,,Vasas,Hungary,A
3,Istv‡n Kocsis,D,"6'00""",182.88,12 08,06/10/1949,28,,Budapest Honv_d,Hungary,A
4,J—zsef T—th,D,"5'09""",175.26,11 11,02/12/1951,26,,òjpest,Hungary,A
5,S‡ndor Zombori,M,"5'09""",175.26,11 00,31/10/1951,26,,Vasas,Hungary,A
6,Zolt‡n Kereki,D,"6'00""",182.88,12 00,13/07/1953,24,,Haladas Sombathely,Hungary,A
7,L‡szl— Fazekas,F,"5'10""",177.8,10 01,15/10/1947,30,Budapest,òjpest,Hungary,A
8,Tibor Nyilasi,M,"6'02""",187.96,12 02,18/01/1955,23,,Ferencv‡ros,Hungary,A
9,Andr‡s T_r_csik,F,"5'08""",172.72,10 08,01/05/1955,23,,òjpest,Hungary,A
10,S‡ndor Pinter,M,"5'09""",175.26,12 00,18/07/1950,27,,Budapest Honv_d,Hungary,A
11,B_la V‡rady,F,,,,12/04/1953,25,,Vasas,Hungary,A
12,Gy_z_ Martos,D,"5'11""",180.34,11 03,15/12/1949,28,,Ferencv‡ros,Hungary,A
13,K‡roly Csap—,M,"5'09""",175.26,10 10,23/02/1952,26,,Tatabanyai BSK,Hungary,A
14,L‡szl— B‡lint,D,"5'11""",180.34,12 04,01/02/1948,30,,Ferencv‡ros,Hungary,A
15,Tibor Rab,D,,,,02/10/1955,22,,Ferencv‡ros,Hungary,A
16,Istv‡n Hal‡sz,M,"5'09""",175.26,11 07,12/10/1951,26,,Tatabanyai BSK,Hungary,A
17,L‡szl— Pusztai,F,"5'10""",177.8,12 00,01/03/1946,32,,Ferencv‡ros,Hungary,A
18,L‡szl— Nagy,M,"5'08""",172.72,10 06,21/10/1949,28,,òjpest,Hungary,A
19,Andr‡s T—th,F,"5'11""",180.34,10 06,05/09/1949,28,,òjpest,Hungary,A
20,Ferenc FŸl_p,F,,,,22/02/1955,23,,MTK,Hungary,A
21,Ferenc M_sz‡ros,G,"6'00""",182.88,11 00,11/04/1950,28,,Vasas,Hungary,A
22,Laszlo Kovacs,G,,,,24/04/1951,27,,Videoton FC Feh_rv‡r,Hungary,A
1,Dino Zoff,G,"6'00""",182.88,12 04,28/02/1942,36,Mariano del Friuli,Juventus,Italy,A
2,Mauro Bellugi,M,"6'00""",182.88,12 06,07/02/1950,28,Buonconvento,Bologna,Italy,A
3,Antonio Cabrini,D,"5'10""",177.8,11 05,08/10/1957,20,Cremona,Juventus,Italy,A
4,Antonello Cuccureddu,D,"5'11""",180.34,11 11,04/10/1949,28,Alghero,Juventus,Italy,A
5,Claudio Gentile,D,"5'10""",177.8,11 03,27/09/1953,24,Tripoli,Juventus,Italy,A
6,Aldo Maldera,M,"5'11""",180.34,11 05,14/10/1953,24,Milano,Milan,Italy,A
7,Lionello Manfredonia,D,"6'00""",182.88,11 07,27/11/1956,21,Rome,Lazio,Italy,A
8,Gaetano Scirea,D,"5'10""",177.8,11 11,25/05/1953,25,Cernusco sul Naviglio,Juventus,Italy,A
9,Giancarlo Antognoni,M,"5'10""",177.8,11 07,01/04/1954,24,Marsciano,Fiorentina,Italy,A
10,Romeo Benetti,M,"5'09""",175.26,11 11,20/10/1945,32,Albaredo d'Adige,Juventus,Italy,A
11,Eraldo Pecci,M,"5'08""",172.72,12 01,12/04/1955,23,S.Giovanni Marignano,Torino,Italy,A
12,Paolo Conti,G,"6'00""",182.88,11 09,01/04/1950,28,Riccione,Roma,Italy,A
13,Patrizio Sala,M,"5'09""",175.26,11 00,16/06/1955,22,Bellusco,Torino,Italy,A
14,Marco Tardelli,M,"5'10""",177.8,11 00,24/09/1954,23,Capanne di Careggine,Juventus,Italy,A
15,Renato Zaccarelli,M,"5'10""",177.8,11 00,18/01/1951,27,Ancona,Torino,Italy,A
16,Franco Causio,F,"5'08""",172.72,10 10,01/02/1949,29,Lecce,Juventus,Italy,A
17,Claudio Sala,M,"5'10""",177.8,11 09,08/09/1947,30,Macherio,Torino,Italy,A
18,Roberto Bettega,F,"6'00""",182.88,12 04,27/12/1950,27,Turin,Juventus,Italy,A
19,Francesco Graziani,F,"5'11""",180.34,12 00,16/12/1952,25,Subiaco,Torino,Italy,A
20,Paolo Pulici,F,"5'10""",177.8,11 09,27/04/1950,28,Roncello,Torino,Italy,A
21,Paolo Rossi,F,"5'09""",175.26,10 06,23/09/1956,21,Santa Lucia,Vicenza,Italy,A
22,Ivano Bordon,G,"6'00""",182.88,12 04,13/04/1951,27,Marghera,Internazionale,Italy,A
1,Jos_ Pilar Reyes,G,,,,12/10/1955,22,,UANL Tigres,Mexico,B
2,Manuel N‡jera,D,,,,20/12/1952,25,,Guadalajara,Mexico,B
3,Alfredo Tena,D,"6'00""",182.88,12 04,21/11/1956,21,Mexico City,Am_rica,Mexico,B
4,Eduardo Ramos,D,"5'11""",180.34,11 07,08/11/1949,28,,Guadalajara,Mexico,B
5,Arturo V‡zquez Ayala,D,"5'09""",175.26,11 05,26/06/1949,28,,UNAM,Mexico,B
6,Guillermo Mendiz‡bal,M,"5'10""",177.8,11 11,08/10/1954,23,,Cruz Azul,Mexico,B
7,Antonio de la Torre,M,"5'10""",177.8,11 05,21/09/1951,26,,Am_rica,Mexico,B
8,Enrique L—pez Zarza,F,"5'07""",170.18,10 03,25/10/1957,20,,UNAM,Mexico,B
9,V’ctor Rangel,F,"5'07""",170.18,10 12,11/03/1957,21,,Guadalajara,Mexico,B
10,Crist—bal Ortega,F,"5'05""",165.1,10 03,25/07/1956,21,Mexico City,Am_rica,Mexico,B
11,Hugo S‡nchez,F,"5'09""",175.26,11 07,11/06/1958,19,Mexico City,UNAM,Mexico,B
12,Jesœs Mart’nez,D,"6'00""",182.88,11 09,07/06/1952,25,,Am_rica,Mexico,B
13,Rigoberto Cisneros,D,"6'04""",193.04,12 04,15/08/1953,24,,Toluca,Mexico,B
14,Carlos G—mez,D,"5'10""",177.8,11 11,16/08/1952,25,,Le—n,Mexico,B
15,Ignacio Flores,D,"5'09""",175.26,11 11,31/07/1953,24,,Cruz Azul,Mexico,B
16,Javier C‡rdenas,M,"5'10""",177.8,11 05,08/12/1952,25,,Toluca,Mexico,B
17,Leonardo Cu_llar,M,"5'08""",172.72,11 05,14/01/1952,26,,UNAM,Mexico,B
18,Gerardo Lugo,M,"5'07""",170.18,10 08,13/03/1955,23,,Atlante,Mexico,B
19,Hugo Ren_ Rodr’guez,F,,,,14/03/1959,19,,Laguna Torre—n,Mexico,B
20,Mario Medina,F,,,,02/09/1952,25,,Toluca,Mexico,B
21,Raœl Isiordia,F,"5'09""",175.26,10 10,22/12/1952,25,,Atl_tico Espa–ol,Mexico,B
22,Pedro Soto,G,"5'10""",177.8,11 09,22/10/1952,25,,Am_rica,Mexico,B
1,Jan Tomaszewski,G,"6'04""",193.04,14 11,09/01/1948,30,Wroc_aw,_KS _—d_,Poland,B
2,W_odzimierz Mazur,M,"5'09""",175.26,11 11,14/04/1954,24,Opat—w,Zag__bie Sosnowiec,Poland,B
3,Henryk Maculewicz,D,"5'11""",180.34,12 04,24/04/1950,28,,Wis_a Krak—w,Poland,B
4,Antoni Szymanowski,D,"5'11""",180.34,11 09,13/01/1951,27,Tomasz—w Mazowiecki,Wis_a Krak—w,Poland,B
5,Adam Nawa_ka,F,"5'11""",180.34,12 00,23/10/1957,20,Krak—w,Wis_a Krak—w,Poland,B
6,Jerzy Gorgo_,D,"6'04""",193.04,14 02,18/07/1949,28,Zabrze,G—rnik Zabrze,Poland,B
7,Andrzej Iwan,M,"5'09""",175.26,12 00,10/11/1959,18,Krak—w,Wis_a Krak—w,Poland,B
8,Henryk Kasperczak,M,"5'11""",180.34,11 09,10/07/1946,31,Zabrze,Stal Mielec,Poland,B
9,W_adys_aw _muda,D,"6'03""",190.5,13 08,06/06/1954,23,Lublin,_l_sk Wroc_aw,Poland,B
10,Wojciech Rudy,D,"5'09""",175.26,11 07,24/10/1952,25,Katowice,Zag__bie Sosnowiec,Poland,B
11,Bohdan Masztaler,M,"5'08""",172.72,11 00,19/09/1949,28,,_KS _—d_,Poland,B
12,Kazimierz Deyna,M,"5'11""",180.34,12 02,23/10/1947,30,Starogard Gda_ski,Legia Warszawa,Poland,B
13,Janusz Kupcewicz,M,"5'10""",177.8,12 00,09/12/1955,22,Gda_sk,Arka Gdynia,Poland,B
14,Miroslav Justek,D,,,,23/09/1948,29,S_upsk,Lech Pozna_,Poland,B
15,Marek Kusto,F,"5'11""",180.34,11 07,29/04/1954,24,Bochnia,Legia Warszawa,Poland,B
16,Grzegorz Lato,M,"5'09""",175.26,11 07,08/04/1950,28,Malbork,Stal Mielec,Poland,B
17,Andrzej Szarmach,F,"5'10""",177.8,11 07,03/10/1950,27,Gda_sk,Stal Mielec,Poland,B
18,Zbigniew Boniek,F,"6'00""",182.88,12 00,03/03/1956,22,Bydgoszcz,Widzew _—d_,Poland,B
19,W_odzimierz Luba_ski,F,,,,28/02/1947,31,Gliwice-So_nica,Lokeren,Poland,B
20,Roman W—jcicki,D,"6'04""",193.04,13 01,08/01/1958,20,Nysa,Odra Opole,Poland,B
21,Zygmunt Kukla,G,"6'01""",185.42,12 08,21/01/1948,30,,Stal Mielec,Poland,B
22,Zdzis_aw Kostrzewa,G,,,,26/10/1955,22,,Zag__bie Sosnowiec,Poland,B
1,Sadok Sassi,G,,,,15/11/1945,32,,Club Africain,Tunisia,B
2,Mokhtar Dhouieb,D,"5'09""",175.26,10 08,23/03/1952,26,,CS Sfaxien,Tunisia,B
3,Ali Kaabi,D,"5'11""",180.34,11 11,15/11/1953,24,,COT Tunis,Tunisia,B
4,Khaled Gasmi,M,"6'00""",182.88,11 11,08/04/1953,25,,Club Bizerta,Tunisia,B
5,Mohsen Labidi,D,,,,15/01/1954,24,,Stade Tunis,Tunisia,B
6,N_jib Ghommidh,M,"5'07""",170.18,11 03,12/03/1953,25,,Club Africain,Tunisia,B
7,T_mime Lahzami,F,"5'07""",170.18,10 10,01/01/1949,29,,Al-Ittihad,Tunisia,B
8,Mohamed Ben Rehaiem,M,"5'08""",172.72,11 00,20/03/1951,27,,CS Sfaxien,Tunisia,B
9,Mohamed Akid,F,"5'10""",177.8,10 12,05/07/1949,28,,CS Sfaxien,Tunisia,B
10,Tarak Dhiab,M,,,,15/07/1954,23,,Esp_rance,Tunisia,B
11,Abderraouf Ben Aziza,F,"5'09""",175.26,11 00,23/09/1953,24,,ƒtoile Sportive,Tunisia,B
12,Khemais Labidi,M,"5'09""",175.26,11 11,30/08/1950,27,,JS Kairouan,Tunisia,B
13,N_jib Liman,F,,,,12/06/1953,24,,Stade Tunis,Tunisia,B
14,Slah Karoui,F,,,,11/09/1951,26,,ƒtoile Sportive,Tunisia,B
15,Mohamed Ben Mouza,F,,,,05/04/1954,24,,Club Africain,Tunisia,B
16,Ohman Chehaibi,F,,,,23/12/1954,23,,JS Kairouan,Tunisia,B
17,Ridha El Louze,D,,,,27/04/1953,25,,Sfax Railways Sports,Tunisia,B
18,Kamel Chebli,D,,,,09/03/1954,24,,Club Africain,Tunisia,B
19,Mokhtar Hasni,F,,,,19/03/1952,26,,La Louvière,Tunisia,B
20,Amor Jebali,D,"5'11""",180.34,12 02,24/12/1956,21,,AS Marsa,Tunisia,B
21,Lamine Ben Aziza,G,,,,10/11/1952,25,,ƒtoile Sportive,Tunisia,B
22,Mokhtar Naili,G,"5'10""",177.8,11 07,03/09/1953,24,,Club Africain,Tunisia,B
1,Sepp Maier,G,"6'00""",182.88,12 04,28/02/1944,34,Metten,Bayern Munich,West Germany,B
2,Berti Vogts,D,"5'06""",167.64,10 08,30/12/1946,31,BŸttgen,B M_nchengladbach,West Germany,B
3,Bernard Dietz,D,"5'10""",177.8,12 00,22/03/1948,30,Bockum-H_vel,Duisburg,West Germany,B
4,Rolf RŸssmann,D,"6'01""",185.42,12 04,13/10/1950,27,Schwelm,Schalke,West Germany,B
5,Manfred Kaltz,D,"6'00""",182.88,12 04,06/01/1953,25,Ludwigshafen am Rhein,Hamburg,West Germany,B
6,Rainer Bonhof,D,"5'11""",180.34,11 05,29/03/1952,26,Emmerich,B M_nchengladbach,West Germany,B
7,RŸdiger Abramczik,F,"6'00""",182.88,11 11,18/02/1956,22,Gelsenkirchen-Erle,Schalke,West Germany,B
8,Herbert Zimmermann,M,"5'10""",177.8,10 12,01/07/1954,23,,K_ln,West Germany,B
9,Klaus Fischer,F,"5'10""",177.8,11 11,27/12/1949,28,Kreuzstra§l,Schalke,West Germany,B
10,Heinz Flohe,M,"5'09""",175.26,11 05,28/01/1948,30,Euskirchen,K_ln,West Germany,B
11,Karl-Heinz Rummenigge,F,"6'00""",182.88,12 06,25/09/1955,22,Lippstadt,Bayern Munich,West Germany,B
12,Hans-Georg Schwarzenbeck,D,"6'00""",182.88,12 04,03/04/1948,30,Munich,Bayern Munich,West Germany,B
13,Harald Konopka,D,"5'09""",175.26,11 07,18/11/1952,25,DŸren,K_ln,West Germany,B
14,Dieter MŸller,F,"6'00""",182.88,11 00,01/04/1954,24,,K_ln,West Germany,B
15,Erich Beer,M,"5'08""",172.72,10 08,09/12/1946,31,Neustadt bei Coburg,Hertha Berlin,West Germany,B
16,Bernhard Cullmann,D,"5'11""",180.34,12 04,01/11/1949,28,,K_ln,West Germany,B
17,Bernd H_lzenbein,M,"5'09""",175.26,11 00,09/03/1946,32,Dehrn,Eintracht Frankfurt,West Germany,B
18,Gerd Zewe,M,"5'10""",177.8,11 00,13/06/1950,27,Stennweiler,Fortuna DŸsseldorf,West Germany,B
19,Ronald Worm,F,"5'10""",177.8,12 08,07/10/1953,24,,Duisburg,West Germany,B
20,Hansi MŸller,M,"5'11""",180.34,11 11,27/07/1957,20,Stuttgart,Stuttgart,West Germany,B
21,Rudolf Kargus,G,"6'00""",182.88,12 00,15/08/1952,25,Worms,Hamburg,West Germany,B
22,Dieter Burdenski,G,"5'11""",180.34,11 09,26/11/1950,27,Wuppertal,Werder Bremen,West Germany,B
1,Friedrich Koncilia,G,"5'10""",177.8,12 08,25/02/1948,30,,SSW Innsbruck,Austria,C
2,Robert Sara,D,"5'08""",172.72,10 12,09/06/1946,31,,Austria Vienna,Austria,C
3,Erich Obermayer,D,"6'00""",182.88,11 11,23/01/1953,25,,Austria Vienna,Austria,C
4,Gerhard Breitenberger,D,"6'00""",182.88,12 00,14/10/1954,23,,V…EST Linz,Austria,C
5,Bruno Pezzey,D,"6'02""",187.96,11 11,03/02/1955,23,,SSW Innsbruck,Austria,C
6,Roland Hattenberger,M,,,,07/12/1948,29,,Stuttgart,Austria,C
7,Josef Hickersberger,M,"5'09""",175.26,11 05,27/04/1948,30,Amstetten,Fortuna DŸsseldorf,Austria,C
8,Herbert Prohaska,M,"5'11""",180.34,11 09,08/08/1955,22,Vienna,Austria Vienna,Austria,C
9,Hans Krankl,F,"6'00""",182.88,12 02,14/02/1953,25,Vienna,Rapid Vienna,Austria,C
10,Wilhelm Kreuz,M,"5'09""",175.26,11 11,29/05/1949,29,,Feyenoord,Austria,C
11,Kurt Jara,M,"5'10""",177.8,11 05,14/10/1950,27,Innsbruck,Duisburg,Austria,C
12,Edi Krieger,D,"5'09""",175.26,11 07,16/12/1946,31,,Club Brugge,Austria,C
13,GŸnther Happich,M,"5'11""",180.34,10 12,28/01/1952,26,,Wiener Sportklub,Austria,C
14,Heinrich Strasser,D,"5'08""",172.72,11 03,26/10/1948,29,,Admira/Wacker,Austria,C
15,Heribert Weber,D,,,,28/06/1955,22,P_ls,Sturm Graz,Austria,C
16,Peter Persidis,D,,,,08/03/1947,31,,Rapid Vienna,Austria,C
17,Franz Oberacher,F,"5'09""",175.26,10 10,24/03/1954,24,,SSW Innsbruck,Austria,C
18,Walter Schachner,F,"5'10""",177.8,12 08,01/02/1957,21,Leoben,DSV Alpine Donawitz,Austria,C
19,Hans Pirkner,F,"5'11""",180.34,12 02,25/03/1946,32,,Austria Vienna,Austria,C
20,Ernst Baumeister,M,"5'11""",180.34,12 00,22/01/1957,21,,Austria Vienna,Austria,C
21,Erwin Fuchsbichler,G,,,,27/03/1952,26,,V…EST Linz,Austria,C
22,Hubert Baumgartner,G,,,,25/02/1955,23,,Austria Vienna,Austria,C
1,Lion,G,,,,11/07/1949,28,,Palm Trees,Brazil,C
2,Toninho,D,,,,07/06/1948,29,Vera Cruz,Flamengo,Brazil,C
3,Oscar,D,,,,20/06/1954,23,,black Bridge,Brazil,C
4,Amaral,D,"5'07 """,170.18,10 03,21/12/1954,23,Campinas,Corinthians,Brazil,C
5,Toninho Cerezo,M,"6'00 """,182.88,11 11,21/04/1955,23,Belo Horizonte,Atl_tico Mineiro,Brazil,C
6,Edinho,D,"5'11 """,180.34,11 11,05/06/1955,22,Rio de Janeiro,Fluminense,Brazil,C
7,Z_ S_rgio,F,,,,08/03/1957,21,Sao Paulo,Sao Paulo,Brazil,C
8,Zico,M,"5'08 """,172.72,11 03,03/03/1953,25,Rio de Janeiro,Flamengo,Brazil,C
9,Reinaldo,F,,,,11/11/1957,20,new bridge,Atl_tico Mineiro,Brazil,C
10,Rivelino,M,,,,01/01/1946,32,Sao Paulo,Fluminense,Brazil,C
11,Dirceu,F,"5'07 """,170.18,10 06,15/06/1952,25,Rio de Janeiro,Vasco da Gama,Brazil,C
12,Carlos,G,"6'02 """,187.96,12 11,04/03/1956,22,Vineyard,black Bridge,Brazil,C
13,Nelinho,D,,,,26/07/1950,27,Rio de Janeiro,cruise,Brazil,C
14,Abel,D,,,,01/09/1952,25,Rio de Janeiro,Vasco da Gama,Brazil,C
15,Polozzi,D,,,,01/10/1955,22,Vineyard,black Bridge,Brazil,C
16,Rodrigues Neto,D,"5'06 """,167.64,10 08,01/12/1949,28,Galilee,Botafogo,Brazil,C
17,Batista,M,,,,08/03/1955,23,Porto Alegre,International,Brazil,C
18,Gil,M,,,,24/12/1950,27,New lime,Botafogo,Brazil,C
19,Jorge Mendonça,F,,,,06/06/1954,23,View Forum Posts,Palm Trees,Brazil,C
20,Roberto Dinamite,F,,,,13/04/1954,24,Duke of Caxias,Vasco da Gama,Brazil,C
21,Chic‹o,M,"6'00 """,182.88,13 05,30/01/1949,29,Piracicaba,Sao Paulo,Brazil,C
22,Valdir Peres,G,,,,02/02/1951,27,Heron,Sao Paulo,Brazil,C
1,Ronnie Hellstr_m,G,"6'04""",193.04,13 03,21/02/1949,29,,Kaiserslautern,Sweden,C
2,Hasse Borg,D,"6'01""",185.42,12 06,04/08/1953,24,,Eintracht Braunschweig,Sweden,C
3,Roy Andersson,D,"5'10""",177.8,12 06,02/08/1949,28,Kirseberg,Malm_ FF,Sweden,C
4,Bj_rn Nordqvist,D,"5'10""",177.8,11 11,06/10/1942,35,Hallsberg,IFK G_teborg,Sweden,C
5,Ingemar Erlandsson,D,"5'10""",177.8,11 05,16/11/1957,20,,Malm_ FF,Sweden,C
6,Staffan Tapper,M,"6'03""",190.5,12 06,10/07/1948,29,Malm_,Malm_ FF,Sweden,C
7,Anders Linderoth,M,"5'07""",170.18,10 08,21/03/1950,28,,Marseille,Sweden,C
8,Bo Larsson,F,"5'09""",175.26,11 03,05/05/1944,34,,Malm_ FF,Sweden,C
9,Lennart Larsson,M,"6'00""",182.88,12 00,09/07/1953,24,,Schalke,Sweden,C
10,Thomas Sj_berg,M,,,,06/07/1952,25,,Malm_ FF,Sweden,C
11,Benny Wendt,F,"6'01""",185.42,12 04,04/11/1950,27,,Kaiserslautern,Sweden,C
12,G_ran Hagberg,G,,,,08/11/1947,30,,…sters IF,Sweden,C
13,Magnus Andersson,D,,,,23/04/1958,20,,Malm_ FF,Sweden,C
14,Ronald Åman,D,,,,30/01/1957,21,,…rebro SK,Sweden,C
15,Torbj_rn Nilsson,F,"6'03""",190.5,12 08,09/07/1954,23,V_sterŒs,IFK G_teborg,Sweden,C
16,Conny Torstensson,F,"5'11""",180.34,11 09,28/08/1949,28,,ZŸrich,Sweden,C
17,Jan M_ller,G,,,,17/09/1953,24,,Malm_ FF,Sweden,C
18,Olle Nordin,M,"5'10""",177.8,11 09,23/11/1949,28,Delaryd,IFK G_teborg,Sweden,C
19,Kent Karlsson,D,"6'00""",182.88,11 11,25/11/1945,32,,IFK Eskilstuna,Sweden,C
20,Roland Andersson,D,,,,28/03/1950,28,,Malm_ FF,Sweden,C
21,Sanny Åslund,F,,,,29/08/1952,25,Torsby,AIK,Sweden,C
22,Ralf Edstr_m,F,"6'03""",190.5,12 08,07/10/1952,25,Degerfors,IFK G_teborg,Sweden,C
1,Luis Arconada,G,"5'10""",177.8,12 04,26/06/1954,23,Donostia,Real Sociedad,Spain,C
2,Jesœs Antonio de la Cruz,D,"5'07""",170.18,10 06,07/05/1947,31,L_on,Barcelona,Spain,C
3,Francisco Javier Ur’a,D,,,,01/02/1950,28,Gij—n,Sporting Gij—n,Spain,C
4,Juan Manuel Asensi,M,,,,23/09/1949,28,Alicante,Barcelona,Spain,C
5,Migueli,D,,,,19/12/1951,26,Ceuta,Barcelona,Spain,C
6,Antonio Biosca,D,"5'08""",172.72,11 07,08/12/1948,29,Almer’a,Betis,Spain,C
7,Dani,F,"5'07""",170.18,11 07,28/06/1951,26,Sopuerta,Athletic Bilbao,Spain,C
8,Juanito,F,"5'07""",170.18,10 10,10/11/1954,23,Fuengirola,Real Madrid,Spain,C
9,Quini,M,"5'09""",175.26,11 11,23/09/1949,28,Oviedo,Sporting Gij—n,Spain,C
10,Santillana,F,,,,23/08/1952,25,Santillana del Mar,Real Madrid,Spain,C
11,Julio Carde–osa,M,"5'06""",167.64,09 11,27/10/1949,28,Valladolid,Betis,Spain,C
12,Antonio Guzm‡n,D,"5'09""",175.26,11 07,02/12/1953,24,Torrej—n de Ardoz,Rayo Vallecano,Spain,C
13,Miguel çngel,G,,,,24/12/1947,30,Ourense,Real Madrid,Spain,C
14,Eugenio Leal,M,"5'10""",177.8,11 09,13/05/1953,25,Carriches,Atl_tico Madrid,Spain,C
15,Mara–—n,F,,,,23/06/1948,29,Olite,Espa–ol,Spain,C
16,Antonio Olmo,D,"5'10""",177.8,12 04,18/01/1954,24,Sabadell,Barcelona,Spain,C
17,Marcelino,D,,,,13/08/1955,22,Sabadell,Atl_tico Madrid,Spain,C
18,Pirri,M,,,,11/03/1945,33,Ceuta,Real Madrid,Spain,C
19,Carles Rexach,M,"6'00""",182.88,12 02,13/01/1947,31,Pedralbes,Barcelona,Spain,C
20,Rub_n Cano,F,,,,05/02/1951,27,San Rafael,Atl_tico Madrid,Spain,C
21,Isidoro San Jos_,M,"5'09""",175.26,11 03,27/10/1955,22,Madrid,Real Madrid,Spain,C
22,Urruti,G,,,,17/02/1952,26,San Sebasti‡n,Espa–ol,Spain,C
1,Piet Schrijvers,G,"5'11""",180.34,13 08,15/12/1946,31,,Ajax,Holland,D
